"campaignid","sample","family","genus","species"
"2021-05_PtCloates_stereo-BRUVS","22","Lethrinidae","Lethrinus","punctulatus"
"2021-05_PtCloates_stereo-BRUVS","22","Lutjanidae","Pristipomoides","multidens"
"2021-05_PtCloates_stereo-BRUVS","22","Lutjanidae","Pristipomoides","sp1"
"2021-05_PtCloates_stereo-BRUVS","22","Microdesmidae","Ptereleotris","sp1"
"2021-05_PtCloates_stereo-BRUVS","22","Nemipteridae","Nemipterus","peronii"
"2021-05_PtCloates_stereo-BRUVS","23","Synodontidae","Saurida","undosquamis"
"2021-05_PtCloates_stereo-BRUVS","25","Carangidae","Carangoides","chrysophrys"
"2021-05_PtCloates_stereo-BRUVS","25","Labridae","Bodianus","solatus"
"2021-05_PtCloates_stereo-BRUVS","25","Lethrinidae","Gymnocranius","grandoculis"
"2021-05_PtCloates_stereo-BRUVS","25","Lutjanidae","Pristipomoides","sp1"
"2021-05_PtCloates_stereo-BRUVS","25","SUS","SUS","sus"
"2021-05_PtCloates_stereo-BRUVS","26","Synodontidae","Saurida","undosquamis"
"2021-05_PtCloates_stereo-BRUVS","27","Lethrinidae","Gymnocranius","grandoculis"
"2021-05_PtCloates_stereo-BRUVS","27","Lethrinidae","Lethrinus","ravus"
"2021-05_PtCloates_stereo-BRUVS","27","Lethrinidae","Lethrinus","rubrioperculatus"
"2021-05_PtCloates_stereo-BRUVS","27","Nemipteridae","Pentapodus","nagasakiensis"
"2021-05_PtCloates_stereo-BRUVS","3","Carangidae","Carangoides","chrysophrys"
"2021-05_PtCloates_stereo-BRUVS","3","Lethrinidae","Gymnocranius","grandoculis"
"2021-05_PtCloates_stereo-BRUVS","3","Lethrinidae","Gymnocranius","griseus"
"2021-05_PtCloates_stereo-BRUVS","3","Lutjanidae","Lutjanus","sebae"
"2021-05_PtCloates_stereo-BRUVS","3","Lutjanidae","Pristipomoides","multidens"
"2021-05_PtCloates_stereo-BRUVS","3","SUS","SUS","sus"
"2021-05_PtCloates_stereo-BRUVS","4","Carangidae","Carangoides","chrysophrys"
"2021-05_PtCloates_stereo-BRUVS","4","Labridae","Bodianus","solatus"
"2021-05_PtCloates_stereo-BRUVS","4","Lethrinidae","Gymnocranius","grandoculis"
"2021-05_PtCloates_stereo-BRUVS","4","Lethrinidae","Gymnocranius","griseus"
"2021-05_PtCloates_stereo-BRUVS","4","Lutjanidae","Lutjanus","sebae"
"2021-05_PtCloates_stereo-BRUVS","4","Lutjanidae","Pristipomoides","multidens"
"2021-05_PtCloates_stereo-BRUVS","5","Triakidae","Mustelus","stevensi"
"2021-05_PtCloates_stereo-BRUVS","6","Carangidae","Carangoides","chrysophrys"
"2021-05_PtCloates_stereo-BRUVS","6","Carangidae","Carangoides","gymnostethus"
"2021-05_PtCloates_stereo-BRUVS","6","Carcharhinidae","Carcharhinus","tilstoni"
"2021-05_PtCloates_stereo-BRUVS","6","Lethrinidae","Gymnocranius","grandoculis"
"2021-05_PtCloates_stereo-BRUVS","6","Lethrinidae","Lethrinus","rubrioperculatus"
"2021-05_PtCloates_stereo-BRUVS","6","Lutjanidae","Pristipomoides","multidens"
"2021-05_PtCloates_stereo-BRUVS","6","Microdesmidae","Ptereleotris","sp1"
"2021-05_PtCloates_stereo-BRUVS","6","Nemipteridae","Pentapodus","nagasakiensis"
"2021-05_PtCloates_stereo-BRUVS","7","Carangidae","Carangoides","chrysophrys"
"2021-05_PtCloates_stereo-BRUVS","7","Carangidae","Carangoides","gymnostethus"
"2021-05_PtCloates_stereo-BRUVS","7","Lethrinidae","Lethrinus","rubrioperculatus"
"2021-05_PtCloates_stereo-BRUVS","7","Lutjanidae","Pristipomoides","multidens"
"2021-05_PtCloates_stereo-BRUVS","7","Microdesmidae","Ptereleotris","sp1"
"2021-05_PtCloates_stereo-BRUVS","7","Triakidae","Hemitriakis","falcata"
"2021-05_PtCloates_stereo-BRUVS","8","Balistidae","Abalistes","stellatus"
"2021-05_PtCloates_stereo-BRUVS","8","Carangidae","Carangoides","chrysophrys"
"2021-05_PtCloates_stereo-BRUVS","8","Labridae","Coris","caudimacula"
"2021-05_PtCloates_stereo-BRUVS","8","Lethrinidae","Gymnocranius","grandoculis"
"2021-05_PtCloates_stereo-BRUVS","8","Lethrinidae","Lethrinus","rubrioperculatus"
"2021-05_PtCloates_stereo-BRUVS","8","Lutjanidae","Pristipomoides","multidens"
"2021-05_PtCloates_stereo-BRUVS","8","Synodontidae","Unknown","sp1"
