"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","depth","macroalgae","biog","mean.relief","tpi","roughness","detrended","sd.relief","method","cumsum.wi"
"CTI.biog+detrended+method","biog+detrended+method",244.143416300578,255.387538854193,0.25704,NA,4,0,0,3.354,0.213,0.078,0,0,1,0,0,0,1,0,1,0.213
"CTI.biog+detrended","biog+detrended",244.411582949395,253.518979419551,0.23368,NA,3,0,0.268,1.486,0.186,0.199,0,0,1,0,0,0,1,0,0,0.399
"CTI.detrended","detrended",245.120816745874,252.033282180711,0.20589,NA,2,0,0.977,0,0.131,0.418,0,0,0,0,0,0,1,0,0,0.53
"CTI.detrended+method+sd.relief","detrended+method+sd.relief",245.623727611136,256.867850163698,0.24351,NA,4,0,1.48,4.835,0.101,0.037,0,0,0,0,0,0,1,1,1,0.631
"CTI.detrended+method","detrended+method",245.66121983333,254.768616303649,0.22192,NA,3,0,1.518,2.735,0.1,0.106,0,0,0,0,0,0,1,0,1,0.731
"CTI.detrended+sd.relief","detrended+sd.relief",246.069860401981,255.177256871932,0.21803,NA,3,0,1.926,3.144,0.081,0.087,0,0,0,0,0,0,1,1,0,0.812
