"","depth","macroalgae","biog","mean.relief","tpi","roughness","detrended","method"
"1",0.047,0.049,0.097,0.067,0.096,0.08,0.086,0.084
"2",0.047,0.049,0.097,0.067,0.096,0.08,0.086,0.084
