"","depth","sand","biog","relief","tpi","roughness","detrended","sdrel","method"
"> Length Maturity",0.951,0,0,0.667,0.001,0.002,0.047,0.325,0.998
"< Length Maturity",1,0,0,0.053,0.067,0.782,0,0.043,1
