"","depth","macroalgae","biog","mean.relief","tpi","roughness","detrended","method"
">50 Maturity but < Maturity",0.433,0.482,0.637,0.014,0.109,0.065,0.065,0.884
"> Length Maturity but < 1.25x Maturity",0.06,0.136,0.244,0.078,0.453,0,0,0.735
"> 1.25x Maturity",0.03,0.616,0.453,0.014,0.359,0.09,0.108,0.301
