"","depth","macroalgae","biog","mean.relief","tpi","roughness","detrended","sd.relief","method"
"> Length Maturity",0.095,0.121,0.906,0.006,0.107,0.02,0.645,0.006,0.906
"< Length Maturity",0.208,0.672,0.142,0.012,0.25,0.013,0.136,0.115,0.672
