OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
20220519-1-NAKED	0	0	1845.50688	1153.28142	1819.07384	1319.06563
20220519-1-NAKED	1	0	304.53532	989.60352	361.63569	1075.24229
20220519-1-NAKED	2	0	86.50814	48.05339	115.34418	27.63070
20220519-1-NAKED	3	0	2040.15019	454.10456	2119.44931	838.53170
20220519-1-NAKED	4	0	2856.20818	531.67401	2853.70632	590.82379
20220519-1-NAKED	4	1	2995.39033	554.27313	2991.69888	567.03524
20220519-1-NAKED	5	0	2633.31599	479.33921	2629.43866	638.38767
20220519-1-NAKED	5	1	2806.99628	415.11013	2785.27509	549.18062
20220519-1-NAKED	6	0	1960.17472	375.53744	1956.37175	714.67401
20220519-1-NAKED	6	1	2204.04089	418.35683	2203.80669	678.99119
20220519-1-NAKED	7	0	2200.24164	673.61233	2255.45353	832.81057
20220519-1-NAKED	7	1	2322.76952	672.42291	2373.22305	793.55947
20220519-1-NAKED	8	0	2134.81413	668.85463	2191.21561	801.88546
20220519-1-NAKED	9	0	1613.81413	396.07930	1681.65799	421.05727
20220519-1-NAKED	9	1	1469.87361	396.07930	1522.25279	406.78414
20220519-1-NAKED	10	0	2243.55390	384.18502	2231.41636	648.59031
20220519-1-NAKED	10	1	2439.83643	390.13216	2420.56134	596.25551
20220519-1-NAKED	11	0	2537.38290	413.92070	2513.34944	587.92952
20220519-1-NAKED	11	1	2725.33829	449.60352	2707.25279	565.33040
20220519-1-NAKED	12	0	2386.30483	478.14978	2392.01115	664.05286
20220519-1-NAKED	12	1	2556.41636	478.14978	2549.03717	623.61233
20220519-1-NAKED	13	0	2368.46097	567.35683	2395.57993	734.22907
20220519-1-NAKED	13	1	2531.43494	581.62996	2549.03717	709.25110
20220519-1-NAKED	14	0	2402.95911	625.63877	2445.54275	787.75330
20220519-1-NAKED	14	1	2546.89963	616.12335	2582.34572	749.69163
20220519-1-NAKED	15	0	2389.87361	644.66960	2438.40520	817.48899
20220519-1-NAKED	15	1	2200.72862	624.44934	2259.96654	850.79295
20220519-1-NAKED	16	0	2801.36431	556.24229	2811.58736	641.66520
20220519-1-NAKED	16	1	2991.69888	569.32599	2986.45725	604.79295
20220519-1-NAKED	17	0	1451.85130	478.14978	1493.68773	499.55947
20220519-1-NAKED	18	0	1717.76952	518.59031	1765.35316	537.62115
20220519-1-NAKED	19	0	2682.09665	670.04405	2724.16357	713.65639
20220519-1-NAKED	20	0	2678.52788	706.91630	2724.16357	737.44493
20220519-1-NAKED	21	0	2760.60967	677.18062	2800.29740	701.76211
20220519-1-NAKED	22	0	2809.38290	655.77093	2838.36431	666.07930
20220519-1-NAKED	23	0	2897.41264	699.77974	2938.28996	706.51982
20220519-1-NAKED	24	0	2980.68401	723.56828	3016.80297	708.89868
20220519-1-NAKED	25	0	3578.28996	656.56388	3566.39405	471.01322
20220519-1-NAKED	26	0	3335.61338	701.76211	3345.13011	578.06167
20220519-1-NAKED	27	0	3266.61710	658.94273	3283.27138	578.06167
20220519-1-NAKED	28	0	3383.19703	604.22907	3373.68030	547.13656
20220519-1-NAKED	29	0	1986.44610	1262.24229	2072.74349	1408.24229
20220519-1-NAKED	29	1	2216.03717	1287.22026	2274.97398	1392.77974
20220519-1-NAKED	30	0	2229.29368	706.51982	2303.04833	854.00881
20220519-1-NAKED	31	0	2226.91450	661.32159	2288.77323	801.67401
20220519-1-NAKED	32	0	2353.22677	490.33921	2361.22677	675.94714
20220519-1-NAKED	32	1	2501.92565	501.04405	2505.16729	639.07489
20220519-1-NAKED	33	0	1588.86245	529.12775	1615.95539	592.94714
20220519-1-NAKED	33	1	1793.47212	531.50661	1826.51301	611.97797
20220519-1-NAKED	34	0	2274.71375	488.85463	2287.08178	696.74009
20220519-1-NAKED	34	1	2435.30855	501.93833	2438.15985	656.29956
20220519-1-NAKED	35	0	1239.12639	490.47577	1279.86617	474.58150
20220519-1-NAKED	35	1	1359.27509	492.85463	1404.77323	482.90749
20220519-1-NAKED	36	0	2703.94052	619.54185	2728.12268	696.77533
20220519-1-NAKED	36	1	2569.51673	657.60352	2607.97398	771.70925
20220519-1-NAKED	37	0	3016.80297	631.53744	3029.88848	645.18943
20220519-1-NAKED	37	1	3169.07063	626.77974	3167.88104	611.88546
20220519-1-NAKED	38	0	2266.62082	409.16300	2253.91822	630.99119
20220519-1-NAKED	38	1	2433.16357	416.29956	2418.08178	584.60352
20220519-1-NAKED	39	0	2236.43123	573.30396	2262.60223	758.85463
20220519-1-NAKED	40	0	1543.41264	407.97357	1591.52045	451.81498
20220519-1-NAKED	40	1	1395.90335	397.26872	1435.68401	431.59471
20220519-1-NAKED	41	0	1976.27509	645.74890	2043.24164	921.05286
20220519-1-NAKED	41	1	2145.19703	642.18062	2205.02602	863.96035
20220519-1-NAKED	42	0	2425.15985	462.68722	2418.43494	640.50661
20220519-1-NAKED	42	1	2573.85874	478.14978	2571.89219	609.58150
20220519-1-NAKED	43	0	2001.63569	596.96035	2065.46468	880.47577
20220519-1-NAKED	43	1	2219.33086	595.77093	2264.12639	821.00441
20220519-1-NAKED	44	0	2492.04833	632.49780	2538.00000	767.62115
20220519-1-NAKED	44	1	2645.50558	603.95154	2660.52788	706.96035
20220519-1-NAKED	45	0	2701.26022	669.56828	2736.77695	733.32599
20220519-1-NAKED	45	1	2832.11524	660.05286	2848.59851	684.55947
20220519-1-NAKED	46	0	1921.75465	388.94273	1920.71004	730.24229
20220519-1-NAKED	46	1	2135.88104	424.62555	2136.02602	700.50661
20220519-1-NAKED	47	0	2364.05576	503.12775	2365.33457	684.75771
20220519-1-NAKED	47	1	2525.84015	513.83260	2525.92937	647.88546
20220519-1-NAKED	48	0	2197.58364	689.07489	2276.27881	901.13656
20220519-1-NAKED	48	1	2367.69517	691.45374	2428.54647	855.93833
20220519-1-NAKED	49	0	1659.05948	448.99559	1711.26022	479.33921
20220519-1-NAKED	49	1	1523.44610	437.10132	1564.94052	463.87665
20220519-1-NAKED	50	0	2685.11278	55.32294	2545.56391	16.83742
20220519-1-NAKED	51	0	72.09011	636.60067	146.58323	670.58732
20220519-1-NAKED	52	0	421.11524	810.51542	477.02602	851.45374
20220519-1-NAKED	52	1	298.58736	828.35683	355.68773	870.48458
20220519-1-NAKED	53	0	211.74721	689.86784	280.74349	727.92952
20220519-1-NAKED	54	0	273.60595	628.01762	328.32714	666.07930
20220519-1-NAKED	55	0	14.27509	732.68722	83.27138	806.43172
20220519-1-NAKED	56	0	81.70213	761.36596	153.79224	800.00334
20220519-1-NAKED	57	0	114.28571	783.81292	181.65414	841.02895
20220519-1-NAKED	58	0	256.24060	675.57238	310.37594	736.39644
20220519-1-NAKED	59	0	580.52045	1018.14978	625.72491	1070.48458
20220519-1-NAKED	60	0	2800.29740	1015.77093	2928.77323	1072.86344
20220519-1-NAKED	61	0	966.72340	416.86318	1013.74593	337.57508
20220519-1-NAKED	61	1	1018.38798	408.45384	1070.21652	329.16574
20220519-1-NAKED	62	0	973.42428	204.22692	1017.37922	170.58954
20220519-1-NAKED	62	1	1226.94118	251.07898	1275.70213	225.85095
20220519-1-NAKED	63	0	229.59108	1678.28194	272.41636	1799.60352
20220519-1-NAKED	64	0	187.95539	1711.58590	237.91822	1821.01322
20220519-1-NAKED	65	0	246.24535	1721.10132	295.01859	1818.63436
20220519-1-NAKED	66	0	226.02230	1730.61674	278.36431	1830.52863
20220519-1-NAKED	67	0	111.73967	33.63737	139.37422	9.61068
20220519-1-NAKED	68	0	47.58364	1738.94273	111.82156	1920.92511
20220519-1-NAKED	68	1	158.21561	1680.66079	199.85130	1830.52863
20220519-1-NAKED	69	0	3016.80297	589.95595	3019.18216	494.80176
20220519-1-NAKED	70	0	2271.71895	751.30435	2351.21706	857.25753
20220519-1-NAKED	71	0	2641.91450	843.55947	2737.22305	950.06608
20220519-1-NAKED	71	1	2703.77323	832.85463	2783.61710	923.89868
