EMOB,Sample,Latitude,Longitude,Date,Time,Time.out,Site,Location,Status,Depth,Observer,Successful.count,Successful.length,Video.notes,Raw.hdd.number,Con.hdd.number,Forwards.habitat.image.saved,Forwards.habitat.image.annotated,Downwards.habitat.image.saved,Downwards.habitat.image.annotated,Vis.in.metres,Habitat.classification ,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes,Cal
20210909-4-SQUID,PCSB34,-22.7033,113.557,20210909,12:54,13:01,,Pt Cloates,,82,Molly Gerrans,Yes,Yes,Synced before and checked cams,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal
20210909-4-SQUID,PCSBP16,-22.7053,113.5502,20210909,13:05,13:13,,Pt Cloates,,89,Molly Gerrans,Yes,Yes,"Used MBH mark, accidentally moved mark",RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal
20210909-4-SQUID,PCSB38,-22.7058,113.5542,20210909,13:17,13:24,,Pt Cloates,,83,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal
20210909-4-SQUID,PCSB8,-22.7064,113.5555,20210909,13:27,13:34,,Pt Cloates,,82,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal
20210909-4-SQUID,PCSB29,-22.7052,113.5576,20210909,13:37,13:44,,Pt Cloates,,82,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,no fish,Post-cal
20210909-4-SQUID,PCSB31,-22.7112,113.5554,20210909,13:50,13:57,,Pt Cloates,,81,Molly Gerrans,Yes,Yes,Checked cams before,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal
20210909-4-SQUID,PCSB44,-22.7122,113.5532,20210909,14:00,14:07,,Pt Cloates,,83,Molly Gerrans,Yes,Yes,Jessie squids Jo in 007,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal
20210909-4-SQUID,PCSB33,-22.7154,113.5531,20210909,14:10,14:17,,Pt Cloates,,81,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal
20210909-4-SQUID,PCSBP6,-22.7171,113.5528,20210909,14:20,14:27,,Pt Cloates,,84,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal
20210909-4-SQUID,PCSB9,-22.7187,113.5519,20210909,14:29,14:36,,Pt Cloates,,81,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal
