EMOB,Sample,Latitude,Longitude,Time.out,Site,Location,Status,Depth,Observer.count,Successful.count,Successful.length,Video.notes,Raw.hdd.number,Con.hdd.number,Forwards.habitat.image.saved,Forwards.habitat.image.annotated,Downwards.habitat.image.saved,Downwards.habitat.image.annotated,Vis.in.metres,Habitat.classification,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Observer.length,Length.complete.date.yyyymmdd,Notes,Cal,Date.time
20210909-3-SQUID,PCSBP1,-22.6996,113.5589,11:54,NA,Pt Cloates,NA,79,Molly Gerrans,Yes,Yes,Filmed 1 but filmed P1 again. BRUV was good ground.,RAW2,CON1,Molly Gerrans,Molly Gerrans,NA,NA,NA,NA,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal,2021-09-09T11:47+08:00
20210909-4-SQUID,PCSB19,-22.7,113.5594,12:06,NA,Pt Cloates,NA,80,Molly Gerrans,Yes,Yes,Gap to find BRUV.,RAW2,CON1,Molly Gerrans,Molly Gerrans,NA,NA,NA,NA,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal,2021-09-09T11:58+08:00
20210909-4-SQUID,PCSB34,-22.7033,113.557,13:01,NA,Pt Cloates,NA,82,Molly Gerrans,Yes,Yes,Synced before and checked cams,RAW2,CON1,Molly Gerrans,Molly Gerrans,NA,NA,NA,NA,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal,2021-09-09T12:54+08:00
20210909-4-SQUID,PCSBP16,-22.7053,113.5502,13:13,NA,Pt Cloates,NA,89,Molly Gerrans,Yes,Yes,"Used MBH mark, accidentally moved mark",RAW2,CON1,Molly Gerrans,Molly Gerrans,NA,NA,NA,NA,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal,2021-09-09T13:05+08:00
20210909-4-SQUID,PCSB38,-22.7058,113.5542,13:24,NA,Pt Cloates,NA,83,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,NA,NA,NA,NA,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal,2021-09-09T13:17+08:00
20210909-4-SQUID,PCSB8,-22.7064,113.5555,13:34,NA,Pt Cloates,NA,82,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,NA,NA,NA,NA,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal,2021-09-09T13:27+08:00
20210909-4-SQUID,PCSB29,-22.7052,113.5576,13:44,NA,Pt Cloates,NA,82,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,NA,NA,NA,NA,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,no fish,Post-cal,2021-09-09T13:37+08:00
20210909-4-SQUID,PCSB31,-22.7112,113.5554,13:57,NA,Pt Cloates,NA,81,Molly Gerrans,Yes,Yes,Checked cams before,RAW2,CON1,Molly Gerrans,Molly Gerrans,NA,NA,NA,NA,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal,2021-09-09T13:50+08:00
20210909-4-SQUID,PCSB44,-22.7122,113.5532,14:07,NA,Pt Cloates,NA,83,Molly Gerrans,Yes,Yes,Jessie squids Jo in 007,RAW2,CON1,Molly Gerrans,Molly Gerrans,NA,NA,NA,NA,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal,2021-09-09T14:00+08:00
20210909-4-SQUID,PCSB33,-22.7154,113.5531,14:17,NA,Pt Cloates,NA,81,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,NA,NA,NA,NA,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal,2021-09-09T14:10+08:00
20210909-4-SQUID,PCSBP6,-22.7171,113.5528,14:27,NA,Pt Cloates,NA,84,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,NA,NA,NA,NA,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal,2021-09-09T14:20+08:00
20210909-4-SQUID,PCSB9,-22.7187,113.5519,14:36,NA,Pt Cloates,NA,81,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,NA,NA,NA,NA,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal,2021-09-09T14:29+08:00
