OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
20210909-2-SQUID	20	1	2663.58305	1630.55422	2684.21695	1458.53012
20210909-2-SQUID	21	0	2856.16610	1633.61446	2884.19322	1445.53012
20210909-2-SQUID	21	1	2995.44746	1636.86747	3018.91864	1439.02410
20210909-2-SQUID	22	0	3022.92542	1643.78313	3048.84407	1425.77108
20210909-2-SQUID	22	1	3148.53898	1660.04819	3178.36271	1434.22892
20210909-2-SQUID	23	0	1544.45545	1430.42574	1546.93069	1299.80198
20210909-2-SQUID	24	0	1184.44746	1481.13253	1186.17627	1405.26506
20210909-2-SQUID	24	1	1310.71186	1470.07229	1303.97966	1397.45783
20210909-2-SQUID	25	0	1134.61070	596.17910	1243.11123	390.89552
20210909-2-SQUID	26	0	835.64356	1593.45545	841.66337	1738.20792
20210909-2-SQUID	26	1	860.59406	1615.43564	863.04950	1760.78218
20210909-2-SQUID	27	0	3696.23762	1725.88119	3741.98020	1516.27723
20210909-2-SQUID	27	1	3509.10891	1719.34653	3548.91089	1509.74257
20210909-2-SQUID	28	0	14.85149	501.06931	156.83168	289.54455
20210909-2-SQUID	29	0	2410.09339	586.01493	2484.81742	338.50746
20210909-2-SQUID	29	1	2297.27072	606.16418	2371.99475	350.59701
20210909-2-SQUID	30	0	1534.16832	195.44554	1727.48515	170.49505
20210909-2-SQUID	30	1	1366.04950	117.02970	1544.51485	98.61386
20210909-2-SQUID	31	0	3493.06931	399.20792	3607.12871	144.95050
20210909-3-SQUID	0	0	1359.90099	468.76238	1496.12871	260.09901
20210909-3-SQUID	1	0	2009.78378	1239.01747	1941.18428	1135.20087
20210909-3-SQUID	2	0	3149.55254	297.26506	3268.69492	33.18072
20210909-3-SQUID	2	1	3044.11525	313.53012	3155.44746	40.98795
20210909-3-SQUID	3	0	1135.58416	1902.17822	1139.17822	2132.67327
20210909-3-SQUID	3	1	1086.27723	1903.36634	1073.83168	2129.10891
20210909-3-SQUID	4	0	2525.68317	512.58416	2599.00000	181.08911
20210909-3-SQUID	5	0	354.05941	1342.57426	313.66337	1233.26733
20210909-3-SQUID	6	0	100.23051	1645.27711	116.50169	1800.15663
20210909-3-SQUID	6	1	297.43729	1648.53012	313.05763	1767.62651
20210909-3-SQUID	7	0	1647.94576	1420.91566	1647.94576	1397.49398
20210909-3-SQUID	7	1	1884.85424	1384.48193	1900.47458	1379.27711
20210909-3-SQUID	8	0	2383.36634	1920.00000	2471.28713	1803.56436
20210909-3-SQUID	9	0	1946.13861	1556.43564	1962.77228	1463.76238
20210909-3-SQUID	10	0	2269.62376	1306.07921	2236.92079	1241.63366
20210909-3-SQUID	10	1	2217.34653	1210.43564	2166.22772	1150.74257
20210909-3-SQUID	11	0	2404.63366	1380.43564	2384.63366	1299.33663
20210909-3-SQUID	11	1	2354.13861	1294.89109	2316.91089	1220.32673
20210909-3-SQUID	12	0	1328.14915	1684.32530	1319.49831	1689.04819
20210909-3-SQUID	12	1	1406.25085	1676.51807	1402.80678	1685.14458
20210909-3-SQUID	13	0	2902.21782	1868.31683	2953.06931	2026.33663
20210909-3-SQUID	13	1	3069.14851	1917.02970	3118.21782	2029.90099
20210909-3-SQUID	14	0	331.48515	1526.16832	347.52475	1656.43564
20210909-3-SQUID	14	1	149.10891	1502.40594	157.42574	1645.14851
20210909-3-SQUID	15	0	3502.57426	1997.82178	3528.71287	1943.76238
20210909-3-SQUID	15	1	3624.35644	1985.34653	3660.59406	1920.59406
20210909-3-SQUID	16	0	2998.64356	770.47525	3053.85149	707.32673
20210909-3-SQUID	16	1	2848.34653	752.05941	2907.71287	667.52475
20210909-3-SQUID	17	0	3050.38614	623.14851	3117.42574	526.58416
20210909-3-SQUID	17	1	3168.00990	599.38614	3231.48515	501.63366
20210909-3-SQUID	18	0	957.75248	516.00990	1075.44554	347.14851
20210909-3-SQUID	18	1	806.86139	504.72277	927.52475	328.13861
20210909-3-SQUID	19	0	1538.66441	1444.67470	1547.64407	1385.55422
20210909-3-SQUID	19	1	1381.15932	1445.32530	1378.42373	1391.40964
20210909-3-SQUID	20	0	1793.49492	1498.86747	1811.60000	1445.34940
20210909-3-SQUID	20	1	1599.54237	1500.81928	1599.42373	1439.49398
20210909-3-SQUID	21	0	1621.13861	1603.16832	1611.16832	1551.59406
20210909-3-SQUID	21	1	1451.23762	1587.32673	1454.33663	1527.83168
20210909-3-SQUID	22	0	1363.96040	1480.39604	1359.20792	1387.72277
20210909-3-SQUID	23	0	1219.27119	1651.80723	1217.33559	1619.31325
20210909-3-SQUID	23	1	1320.15254	1651.80723	1314.96271	1619.96386
20210909-3-SQUID	24	0	2495.04950	66.53465	2561.58416	16.63366
20210909-3-SQUID	25	0	2098.18812	453.04950	2178.62376	255.44554
20210909-3-SQUID	25	1	2470.06931	326.31683	2546.14851	116.43564
20210909-3-SQUID	26	0	176.23762	499.21782	303.84158	380.21782
20210909-3-SQUID	26	1	369.50495	459.21782	480.87129	303.38614
20210909-3-SQUID	27	0	1541.86139	1317.18812	1552.10891	1383.03960
20210909-3-SQUID	27	1	1310.17822	1239.36634	1329.93069	1324.82178
20210909-3-SQUID	28	0	1174.13861	1169.26733	1173.09901	1150.76238
20210909-3-SQUID	28	1	1352.95050	1138.37624	1356.06931	1124.62376
20210909-3-SQUID	29	0	548.15842	378.25743	648.70297	273.03960
20210909-3-SQUID	30	0	1661.59322	455.65060	1827.95932	334.78313
20210909-3-SQUID	30	1	1705.20000	515.50602	1872.21695	402.44578
20210909-3-SQUID	31	0	2336.56436	588.16832	2411.85149	245.14851
20210909-3-SQUID	32	0	1518.41584	425.34653	1665.74257	228.11881
20210909-3-SQUID	33	0	1607.40594	409.48515	1772.62376	196.83168
20210909-3-SQUID	34	0	1169.10891	401.58416	1285.54455	251.88119
20210909-3-SQUID	35	0	1340.19802	287.52475	1492.27723	118.81188
20210909-3-SQUID	36	0	1613.46535	242.37624	1813.06931	97.42574
20210909-3-SQUID	37	0	1029.12871	546.76238	1151.15842	453.90099
20210909-3-SQUID	38	0	2824.92542	325.65060	2911.08136	31.87952
20210909-3-SQUID	38	1	2934.91864	324.34940	3043.85424	43.59036
20210909-3-SQUID	39	0	316.63366	482.03960	427.12871	317.45545
20210909-3-SQUID	40	0	3485.28814	237.46988	3661.01695	21.46988
20210909-3-SQUID	40	1	3316.06780	256.98795	3461.85763	34.48193
20210909-3-SQUID	41	0	3609.50495	214.37624	3805.94059	21.78218
20210909-3-SQUID	41	1	3428.11881	242.89109	3587.72277	27.32673
20210909-3-SQUID	42	0	1588.97030	1537.47525	1585.96040	1469.71287
20210909-3-SQUID	42	1	1454.31683	1529.55446	1453.68317	1460.60396
20210909-3-SQUID	43	0	1168.17288	295.54217	1310.44068	117.75904
20210909-3-SQUID	43	1	1053.62373	302.04819	1180.92203	108.65060
20210909-3-SQUID	44	0	2080.78624	60.52402	2157.84767	7.07424
20210909-3-SQUID	45	0	2212.95050	885.42574	2327.01980	794.25743
