OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
20210909-3-SQUID	50	20210909_BOTTOM_3_0006_0001.mp4	39125	20210909_TOP_3_0006_0001.mp4	39540	110.87882	PCSBP1	1.04910	-409.72932	247.10027	-1959.19001	1.88874	1.39502	8.19895	20.90253	2016.77023	13.71974	Labridae	Pseudanthias	cooperi		1	AD	Passing			
20210909-3-SQUID	55	20210909_BOTTOM_3_0006_0001.mp4	41585	20210909_TOP_3_0006_0001.mp4	42000	111.56284	PCSBP1	1.73312	-613.10398	124.81163	-2257.62375	3.06693	1.25847	11.01082	30.53872	2342.72052	15.48852	Cirrhitidae	Cyprinocirrhites	polyactis	37374006	8	AD	Passing			
20210909-3-SQUID	61	20210909_BOTTOM_3_0006_0001.mp4	42392	20210909_TOP_3_0006_0001.mp4	42807	111.78723	PCSBP1	1.95751	258.35031	-1108.14347	-3772.12305	2.46246	8.32691	27.97339	35.09719	3940.00496	16.79421	Acanthuridae	Naso	spp		1	AD	Passing			
20210909-3-SQUID	63	20210909_BOTTOM_3_0006_0001.mp4	42469	20210909_TOP_3_0006_0001.mp4	42884	111.80864	PCSBP1	1.97892	71.12324	47.39486	-3205.83069	1.55635	1.55036	20.56165	22.66666	3206.96979	1.52246	Acanthuridae	Naso	spp		1	AD	Passing			
20210909-3-SQUID	64	20210909_BOTTOM_3_0006_0001.mp4	42555	20210909_TOP_3_0006_0001.mp4	42970	111.83255	PCSBP1	2.00283	-130.70356	1339.89780	-2864.96988	1.54339	7.79258	16.44075	4.99763	3165.51133	25.35369	Lethrinidae	Lethrinus	rubrioperculatus	37351012	1	AD	Passing			
20210909-3-SQUID	66	20210909_BOTTOM_3_0006_0001.mp4	42643	20210909_TOP_3_0006_0001.mp4	43058	111.85702	PCSBP1	2.02730	-292.98082	-535.17236	-3147.58503	2.41707	3.75613	20.37848	29.04324	3206.17197	10.97749	Acanthuridae	Naso	spp		1	AD	Passing			
20210909-3-SQUID	68	20210909_BOTTOM_3_0006_0001.mp4	42679	20210909_TOP_3_0006_0001.mp4	43094	111.86703	PCSBP1	2.03731	405.45038	740.16400	-1766.50725	1.44190	2.49780	5.76197	3.42433	1957.74887	25.52842	Acanthuridae	Naso	spp		5	AD	Passing			
20210909-3-SQUID	69	20210909_BOTTOM_3_0006_0001.mp4	42679	20210909_TOP_3_0006_0001.mp4	43094	111.86703	PCSBP1	2.03731	502.99331	1456.23693	-2930.57825	2.81627	7.83983	15.78784	1.57507	3310.87860	27.72369	Acanthuridae	Naso	spp		1	AD	Passing			
20210909-3-SQUID	79	20210909_BOTTOM_3_0006_0001.mp4	42843	20210909_TOP_3_0006_0001.mp4	43258	111.91263	PCSBP1	2.08291	-395.98525	-1570.16732	-3171.64309	2.96888	9.91714	20.50243	19.68832	3561.11635	26.46443	Lethrinidae	Lethrinus	rubrioperculatus	37351012	1	AD	Passing			
20210909-3-SQUID	80	20210909_BOTTOM_3_0006_0001.mp4	42843	20210909_TOP_3_0006_0001.mp4	43258	111.91263	PCSBP1	2.08291	-310.01103	-2015.90790	-3673.92213	2.91829	14.55227	27.22697	0.47685	4202.10606	28.44282	Lethrinidae	Lethrinus	rubrioperculatus	37351012	1	AD	Passing			
20210909-4-SQUID	0	20210909_BOTTOM_4_0001_0001.mp4	21975	20210909_TOP_4_0001_0001.mp4	27170	6.11027	PCSB34	0.75353	1100.90649	1163.07417	-6112.74927	13.06687	14.25834	72.44667	142.92553	6319.05375	14.81629	Unknown	Unknown	Unknown	0	1	AD	Passing			
20210909-4-SQUID	1	20210909_BOTTOM_4_0001_0001.mp4	61931	20210909_TOP_4_0001_0001.mp4	67126	17.22026	PCSBP16	0.11539	1036.93564	-1593.85850	-5599.79077	11.20260	17.17205	60.79874	0.23564	5913.82085	18.60026	Unknown	Unknown	Unknown	0	1	AD	Passing			
20210909-4-SQUID	3	20210909_BOTTOM_4_0001_0001.mp4	62387	20210909_TOP_4_0001_0001.mp4	67582	17.34705	PCSBP16	0.24219	761.22122	2690.43694	-4709.89469	6.79412	23.65977	40.59210	1.94117	5477.31839	31.18809	Carangidae	Decapterus	spp		1	AD	Passing			
20210909-4-SQUID	4	20210909_BOTTOM_4_0001_0001.mp4	64872	20210909_TOP_4_0001_0001.mp4	70067	18.03802	PCSBP16	0.93315	1120.88964	283.66255	-4832.13441	10.61883	3.95110	45.83941	1.05823	4968.53912	13.61646	Lethrinidae	Gymnocranius	sp1		1	AD	Passing			
20210909-4-SQUID	5	20210909_BOTTOM_4_0002_0001.mp4	31233	20210909_TOP_4_0002_0001.mp4	36428	28.68449	PCSB38	0.15404	866.65956	-2529.58007	-4698.41770	7.54591	22.01367	41.45620	5.24634	5406.01545	29.46920	Lethrinidae	Gymnocranius	sp1		1	AD	Passing			
20210909-4-SQUID	11	20210909_BOTTOM_4_0004_0001.mp4	10675	20210909_TOP_4_0004_0001.mp4	15870	62.96818	PCSB31	1.10332	1104.83211	-1701.78972	-4131.86592	8.46518	12.80678	31.72589	9.89743	4603.15742	25.72604	Lutjanidae	Aphareus	rutilans	37346001	2	AD	Passing			
20210909-4-SQUID	12	20210909_BOTTOM_4_0004_0001.mp4	43010	20210909_TOP_4_0004_0001.mp4	48205	71.95911	PCSB44	0.00000	764.78970	-2259.21584	-5584.66518	7.98131	23.73772	58.88037	4.87466	6072.68019	23.13488	Unknown	Unknown	Unknown	0	1	AD	Passing			
20210909-4-SQUID	13	20210909_BOTTOM_4_0004_0001.mp4	43129	20210909_TOP_4_0004_0001.mp4	48324	71.99220	PCSB44	0.03309	616.06689	-4428.88039	-10087.99912	12.14440	85.52652	195.41392	107.22629	11034.59316	23.91381	Lutjanidae	Lutjanus	sebae	37346004	1	AD	Passing			
20210909-4-SQUID	17	20210909_BOTTOM_4_0004_0001.mp4	47969	20210909_TOP_4_0004_0001.mp4	53164	73.33799	PCSB44	1.37888	382.20458	-3636.35586	-8313.05785	6.79346	58.29012	133.68652	1.36753	9081.63505	23.75010	Acanthuridae	Naso	spp		14	AD	Passing			
20210909-4-SQUID	19	20210909_BOTTOM_4_0004_0001.mp4	49931	20210909_TOP_4_0004_0001.mp4	55126	73.88353	PCSB44	1.92442	1081.36593	2405.89886	-5086.60807	10.16964	22.87148	48.05788	0.67956	5729.85892	27.57913	Chaetodontidae	Heniochus	acuminatus	37365011	1	AD	Passing			
20210909-4-SQUID	20	20210909_BOTTOM_4_0004_0001.mp4	50354	20210909_TOP_4_0004_0001.mp4	55549	74.00115	PCSB44	2.04204	1022.47820	2762.72324	-5111.95206	9.55904	26.01325	47.93582	3.50597	5900.01316	30.12765	Chaetodontidae	Heniochus	acuminatus	37365011	1	AD	Passing			
20210909-4-SQUID	21	20210909_BOTTOM_4_0005_0001.mp4	10915	20210909_TOP_4_0005_0001.mp4	16110	83.03490	PCSB33	0.00000	-16.83390	76.40877	-495.16257	0.25598	0.26225	0.53195	0.48628	501.30595	9.56739	Lutjanidae	Lutjanus	sebae	37346004	1	AD	Passing			
20210909-4-SQUID	22	20210909_BOTTOM_4_0005_0001.mp4	12108	20210909_TOP_4_0005_0001.mp4	17303	83.36662	PCSB33	0.33172										Carcharhinidae	Carcharhinus	spp		1	AD	Passing			
20210909-4-SQUID	26	20210909_BOTTOM_4_0005_0001.mp4	12492	20210909_TOP_4_0005_0001.mp4	17687	83.47339	PCSB33	0.43849	167.32435	1657.36761	-3296.32313	1.89607	11.02349	21.34081	1.07747	3693.31978	27.40819	Lutjanidae	Aphareus	rutilans	37346001	1	AD	Passing			
20210909-4-SQUID	27	20210909_BOTTOM_4_0005_0001.mp4	20339	20210909_TOP_4_0005_0001.mp4	25534	85.65529	PCSB33	2.62040	-40.77817	2406.02710	-4595.24616	2.18010	21.81530	41.43338	12.07698	5187.18773	27.82507	Carangidae	Carangoides	fulvoguttatus	37337037	1	AD	Passing			
20210909-4-SQUID	34	20210909_BOTTOM_4_0006_0001.mp4	6721	20210909_TOP_4_0006_0001.mp4	11916	101.86871	PCSB9	0.70487	437.43996	794.11370	-2139.51875	1.87918	3.28087	8.58743	1.79688	2323.68473	22.95747	Carangidae	Seriola	dumerili	37337025	7	AD	Passing			
