OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
20210519-1	0	0	2908.87218	211.67038	2896.84211	223.69710
20210519-1	0	1	2379.54887	175.59020	2384.36090	211.67038
20210519-2	0	0	1825.96607	776.63158	1879.16965	844.56579
20210519-2	0	1	1708.11289	761.82895	1748.87970	830.35526
20210519-2	1	0	1691.01481	2042.76316	1577.07341	2152.89474
20210519-2	2	0	1310.00617	1828.42105	1274.47255	1807.10526
20210519-2	3	0	1297.59778	1825.21053	1261.53917	1797.38158
20210519-2	4	0	622.22772	1663.62376	609.75248	1598.71287
20210519-2	4	1	826.58416	1734.91089	806.98020	1670.59406
20210519-2	5	0	38.01980	1934.25743	4.75248	1889.10891
20210519-2	6	0	1889.10891	2012.67327	1772.67327	2143.36634
20210519-2	7	0	1800.37014	2029.73684	1689.03146	2141.05263
20210519-2	8	0	1936.29703	680.73267	1939.21782	591.89109
20210519-2	8	1	2262.43564	661.72277	2256.44554	564.56436
20210519-2	9	0	2128.91055	1875.57895	2245.22147	2146.97368
20210519-2	10	0	2437.46083	1865.51316	2528.30598	2152.89474
20210519-2	11	0	1579.40284	859.26316	1615.62616	1009.82895
20210519-2	11	1	1549.19926	878.21053	1583.64590	1027.59211
20210519-2	12	0	1578.15052	919.22368	1615.49105	1071.44737
20210519-2	13	0	1594.72277	2051.28713	1484.48515	2157.02970
20210519-2	14	0	836.43564	2031.68317	764.28713	2156.43564
20210519-2	15	0	788.26733	963.47525	848.31683	1069.30693
20210519-2	16	0	2508.13140	1743.97368	2575.47070	1757.86842
20210519-2	16	1	2560.83961	1742.78947	2626.40222	1754.31579
20210519-2	17	0	381.39420	793.97368	459.56817	1025.69737
20210519-2	17	1	345.86058	780.35526	424.62677	1007.93421
20210519-2	18	0	1117.69463	1859.86842	1048.95682	2136.90789
20210519-2	19	0	27.83467	1463.52632	7.69895	1771.52632
20210519-2	19	1	308.55028	1571.88158	282.49229	1939.68421
20210520-1	0	0	948.11881	955.24752	998.01980	1069.30693
20210520-1	1	0	3260.19802	1050.29703	3200.79208	1074.05941
20210520-1	2	0	3279.55446	878.19802	3221.02970	1046.48515
20210520-1	2	1	3338.96040	879.98020	3281.02970	1048.26733
20210520-1	3	0	2438.03941	967.39606	2416.55172	1068.18381
20210520-1	4	0	2655.07921	1823.34653	2723.66337	1827.09901
20210520-1	4	1	2721.21782	1822.15842	2787.02970	1823.53465
20210520-1	5	0	415.24752	489.75248	481.18812	442.95050
20210520-1	5	1	92.67327	521.83168	163.96040	504.73267
20210520-1	6	0	1680.41872	1036.30197	1711.92118	1070.54705
20210520-1	7	0	2726.30693	623.09901	2710.40594	821.87129
20210520-1	7	1	2662.54455	614.78218	2648.62376	804.44554
20210520-1	8	0	1115.89109	801.36634	1160.00000	896.77228
20210520-1	8	1	1019.65347	806.51485	1071.28713	906.27723
20210520-1	9	0	2460.31683	802.55446	2445.54455	933.45545
20210520-1	9	1	2335.96040	799.78218	2321.18812	932.26733
20210520-1	10	0	1164.69307	765.16832	1199.50495	1058.10891
20210520-1	10	1	1209.24752	765.16832	1248.21782	1059.29703
20210520-1	11	0	334.45545	1917.02970	320.19802	1974.05941
20210520-1	11	1	212.67327	1905.14851	197.22772	1968.11881
20210520-1	12	0	2695.19802	1451.89109	2749.21782	1543.46535
20210520-1	12	1	2715.99010	1427.53465	2770.00990	1517.32673
20210520-1	13	0	2773.61386	1450.10891	2828.22772	1555.94059
20210520-1	13	1	2739.75248	1463.17822	2794.96040	1571.98020
20210520-1	14	0	2451.36634	841.64356	2434.40594	1004.33663
20210520-1	14	1	2520.27723	860.05941	2502.12871	1026.31683
20210520-1	15	0	1191.51485	1825.73267	1145.58416	1925.34653
20210520-1	16	0	2282.75248	1997.82178	2390.49505	2148.11881
20210520-1	17	0	2489.67327	1881.98020	2571.00000	1998.41584
20210520-1	17	1	2358.98020	1856.43564	2443.87129	1977.62376
20210520-1	18	0	3009.43564	866.81188	2965.46535	1064.76238
20210520-1	19	0	3343.53465	690.55446	3321.65347	772.62376
20210520-1	19	1	3137.59406	658.87129	3125.21782	708.86139
20210520-1	20	0	2512.28571	1033.18600	2487.52709	1074.29759
20210520-1	21	0	1289.02956	1021.93873	1331.54680	1074.50766
20210520-1	22	0	1424.65347	903.08911	1458.13861	1078.31683
20210520-1	22	1	1229.40594	881.30693	1264.87129	1061.28713
20210520-1	23	0	2304.95050	943.36634	2283.56436	1069.30693
20210520-1	24	0	2397.78818	75.22976	2415.02463	64.20131
20210520-1	24	1	2301.63054	25.20788	2313.74384	0.78775
20210520-1	25	0	2716.59406	201.38614	2734.50495	188.91089
