Dot Point Measurements

Generated: Monday 29 May 2023 15:43:42

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	BROAD	MORPHOLOGY	TYPE	RELIEF	CODE				Radius %
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		677	2112																						0. Flat substrate, sandy, rubble with few features. ~0 substrate slope					22.7
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		946	2112																						0. Flat substrate, sandy, rubble with few features. ~0 substrate slope					11.9
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		1214	2112																											11.9
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		1483	2112																											22.7
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		1752	2112																						0. Flat substrate, sandy, rubble with few features. ~0 substrate slope					35.6
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		2021	2112																						0. Flat substrate, sandy, rubble with few features. ~0 substrate slope					48.9
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		139	2495																											56.1
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		408	2495																											45.0
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		677	2495																						0. Flat substrate, sandy, rubble with few features. ~0 substrate slope					35.7
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		946	2495																						0. Flat substrate, sandy, rubble with few features. ~0 substrate slope					30.0
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		1214	2495																											30.0
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		1483	2495																											35.7
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		1752	2495																						0. Flat substrate, sandy, rubble with few features. ~0 substrate slope					45.0
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		2021	2495																						0. Flat substrate, sandy, rubble with few features. ~0 substrate slope					56.1
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		139	2878																											68.4
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		408	2878																						0. Flat substrate, sandy, rubble with few features. ~0 substrate slope					59.6
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		677	2878																						0. Flat substrate, sandy, rubble with few features. ~0 substrate slope					52.9
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		946	2878																						0. Flat substrate, sandy, rubble with few features. ~0 substrate slope					49.2
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		1214	2878																											49.2
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		1483	2878																											52.9
