Dot Point Measurements

Generated: Monday 29 May 2023 15:43:40

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	BROAD	MORPHOLOGY	TYPE	RELIEF	CODE				Radius %
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		675	2483																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						41.6
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		683	1972																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						31.7
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		741	3185																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						67.3
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		1071	2440																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						27.6
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		586	2916																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						60.0
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		601	3134																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						68.3
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		826	2022																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						25.0
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		640	2432																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						41.5
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		806	2874																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						52.4
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		635	3289																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						74.1
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		783	2925																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						55.1
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		1721	2978																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						54.1
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		1680	2159																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						20.1
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		1952	2764																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						50.3
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		1988	3665																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						90.0
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		1829	2785																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						47.9
20220519-1-SQUID_112_02_20220519_TOP_3_0006_0001.mp4_0042382.jpg	      0		1883	3214																			Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						67.7
