OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
20210519-2	1	20210519_1108-1552_BOTTOM2_0003_0001.mp4	67231	20210519_1108-1552_TOP2_0004_0001.mp4	17609	56.69386	34	0.82777	-936.83068	-1254.85815	-2540.90084	4.87459	6.63937	13.05561	1.27082	2984.71067	31.94538	SUS	SUS	SUS	2	1	AD	Passing			
20210519-2	2	20210519_1108-1552_BOTTOM2_0004_0001.mp4	6817	20210519_1108-1552_TOP2_0004_0001.mp4	25527	58.89550	34	3.02942	-958.61243	-1180.80404	-4901.70471	9.78405	12.35879	49.07077	26.51274	5132.24561	17.52928	Unknown	Unknown	Unknown	0	1	AD	Passing			
20210519-2	3	20210519_1108-1552_BOTTOM2_0004_0001.mp4	6906	20210519_1108-1552_TOP2_0004_0001.mp4	25616	58.92025		-1.00000	-980.29079	-1183.47550	-5109.75217	10.41561	12.91727	53.28830	23.77376	5335.83654	17.02715	Unknown	Unknown	Unknown	0	1	AD	Passing			
20210519-2	5	20210519_1108-1552_BOTTOM2_0004_0001.mp4	53885	20210519_1108-1552_TOP2_0005_0001.mp4	4263	71.98302	47	2.40518	-1112.39534	2028.57608	-3328.63447	7.40362	13.25717	21.98892	2.83733	4053.68373	34.47473	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20210519-2	6	20210519_1108-1552_BOTTOM2_0004_0001.mp4	55362	20210519_1108-1552_TOP2_0005_0001.mp4	5740	72.39371	47	2.81587	-859.47565	-1565.48934	-2553.20764	4.40260	8.02519	12.81234	0.77784	3115.81844	35.29891	Unknown	Unknown	Unknown	0	1	AD	Passing			
20210519-2	7	20210519_1108-1552_BOTTOM2_0005_0001.mp4	37205	20210519_1108-1552_TOP2_0005_0001.mp4	55915	86.34515	48	0.25831	-926.38541	-1488.81987	-2648.76084	4.96126	8.03953	13.97504	1.61267	3176.58756	33.82186	Unknown	Unknown	Unknown	0	1	AD	Passing			
20210519-2	9	20210519_1108-1552_BOTTOM2_0006_0001.mp4	50048	20210519_1108-1552_TOP2_0007_0001.mp4	426	108.91603	29	2.61428	-472.19375	732.63697	-1531.57445	1.56211	2.36413	4.68963	0.19220	1762.22705	29.93129	SUS	SUS	SUS	2	1	AD	Passing			
20210519-2	10	20210519_1108-1552_BOTTOM2_0006_0001.mp4	50048	20210519_1108-1552_TOP2_0007_0001.mp4	426	108.91603	29	2.61428	-454.73921	408.09533	-1453.89155	1.48025	1.42606	4.33995	0.18806	1577.06379	23.02386	SUS	SUS	SUS	2	1	AD	Passing			
20210519-2	12	20210519_1108-1552_BOTTOM2_0007_0001.mp4	17793	20210519_1108-1552_TOP2_0007_0001.mp4	36503	118.94744	40	0.21021	-616.85617	-817.68611	-1838.46330	2.37641	3.04222	6.76642	1.41528	2104.53544	28.64104	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20210519-2	13	20210519_1108-1552_BOTTOM2_0010_0001.mp4	66299	20210519_1108-1552_TOP2_0011_0001.mp4	16677	189.43480	49	0.21104	-951.64104	-1080.12399	-2495.45537	4.90802	5.71754	12.73643	0.95050	2880.90021	30.25975	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20210519-2	14	20210519_1108-1552_BOTTOM2_0010_0001.mp4	66299	20210519_1108-1552_TOP2_0011_0001.mp4	16677	189.43480	49	0.21104	-835.71155	155.88860	-1955.86735	3.49942	1.14304	8.10663	1.96517	2132.63503	23.42675	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20210519-2	15	20210519_1108-1552_BOTTOM2_0010_0001.mp4	66299	20210519_1108-1552_TOP2_0011_0001.mp4	16677	189.43480	49	0.21104	-761.22980	177.26239	-2043.39658	3.23366	1.29480	8.52557	3.13033	2187.77567	21.07739	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20210519-2	18	20210519_1108-1552_BOTTOM2_0011_0001.mp4	59656	20210519_1108-1552_TOP2_0012_0001.mp4	10035	206.58777	31	2.21304	-495.57139	-165.09299	-1447.84898	1.61393	0.89439	4.42823	12.00117	1539.19245	19.95896	Priacanthidae	Priacanthus	spp		1	AD	Passing			
20210520-1	0	20210520_0809-1314_BOTTOM_0002_0001.mp4	31857	20210520_0809-1314_TOP_0002_0001.mp4	24107	27.85811	19	2.25281	-730.99926	-39.96543	-1996.12310	3.05441	0.98251	8.16340	3.56672	2126.13842	20.11645	Priacanthidae	Priacanthus	spp		1	AD	Passing			
20210520-1	1	20210520_0809-1314_BOTTOM_0002_0001.mp4	33221	20210520_0809-1314_TOP_0002_0001.mp4	25471	28.23738	19	2.63207	-1209.60056	-780.68822	-3082.50447	7.57403	5.00041	19.35981	1.16276	3402.12308	24.87857	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20210520-1	3	20210520_0809-1314_BOTTOM_0004_0001.mp4	30320	20210520_0809-1314_TOP_0004_0001.mp4	22570	65.43064	46	0.67150	-757.35243	604.19690	-2004.25522	3.14934	2.66896	8.14103	0.26710	2226.13468	25.98007	SUS	SUS	SUS	2	1	AD	Passing			
20210520-1	6	20210520_0809-1314_BOTTOM_0006_0001.mp4	16936	20210520_0809-1314_TOP_0006_0001.mp4	9186	99.70905	25	0.97264	-964.10750	-1329.32294	-2616.25008	4.96422	6.70778	13.39014	1.96707	3088.91036	31.62547	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20210520-1	15	20210520_0809-1314_BOTTOM_0011_0001.mp4	35238	20210520_0809-1314_TOP_0011_0001.mp4	27488	199.79821	4	0.80386	-614.89693	-405.25505	-2503.29514	3.34068	2.50354	12.99888	17.75477	2609.37090	16.60099	SUS	SUS	SUS	2	1	AD	Passing			
