OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
20210826-1-FLASH	44	0	2058.56436	1521.36634	2086.12871	1459.11881
20210826-1-FLASH	45	0	1912.75248	2025.34653	1867.72277	2150.49505
20210826-1-FLASH	46	0	3546.86139	565.33663	3636.83168	438.94059
20210826-1-FLASH	46	1	3365.07921	591.07921	3451.88119	442.10891
20210826-1-FLASH	47	0	916.93069	462.24752	1037.96040	365.28713
20210826-1-FLASH	47	1	1107.02970	462.24752	1227.26733	378.35644
20210826-1-FLASH	48	0	1582.57426	670.09901	1687.34653	576.26733
20210826-1-FLASH	49	0	854.80198	513.46535	969.40594	395.92079
20210826-1-FLASH	49	1	1031.03960	494.45545	1143.26733	385.22772
20210826-1-FLASH	50	0	2317.65347	1895.30693	2428.02970	2059.80198
20210826-1-FLASH	50	1	2270.52475	1922.23762	2384.86139	2093.46535
20210826-1-FLASH	51	0	3319.60396	1820.19802	3340.99010	2150.49505
20210826-1-FLASH	52	0	3714.05941	1140.59406	3763.96040	1102.57426
20210826-1-FLASH	53	0	1091.37624	1428.98020	1088.60396	1382.32673
20210826-1-FLASH	53	1	1191.97030	1407.59406	1190.38614	1356.98020
20210826-1-FLASH	54	0	1188.37624	1177.53465	1188.33663	1174.21782
20210826-1-FLASH	54	1	1360.25743	1168.02970	1369.72277	1167.88119
20210826-1-FLASH	55	0	637.59406	1527.99010	626.41584	1447.84158
20210826-1-FLASH	55	1	684.72277	1583.03960	675.92079	1502.09901
20210826-1-FLASH	56	0	3653.06931	1753.82178	3704.55446	1468.49505
20210826-1-FLASH	57	0	313.24752	1369.22772	288.68317	1373.62376
20210826-1-FLASH	57	1	399.98020	1265.86139	371.85149	1256.79208
20210826-1-FLASH	58	0	363.54455	1601.86139	363.16832	1606.19802
20210826-1-FLASH	59	0	2206.23762	1406.33663	2185.63366	1274.91089
20210826-1-FLASH	60	0	2714.14851	279.78218	2790.36634	53.06931
20210826-1-FLASH	60	1	2894.74257	252.05941	2986.00990	49.90099
20210826-1-FLASH	61	0	66.13861	416.10891	212.51485	240.76238
20210826-1-FLASH	61	1	280.00000	452.14851	408.55446	276.80198
20210826-1-FLASH	62	0	1650.67327	415.71287	1826.26733	260.76238
20210826-1-FLASH	63	0	2038.81188	1119.20792	1955.64356	1090.69307
20210826-1-FLASH	64	0	3012.11881	1548.54455	3031.48515	1300.10891
20210826-2-FLASH	0	0	3478.53465	1550.77228	3526.21782	1342.20792
20210826-2-FLASH	0	1	3215.96040	1557.50495	3237.50495	1385.37624
20210826-2-FLASH	1	0	2708.43564	1507.76238	2719.29703	1452.94059
20210826-2-FLASH	1	1	2960.71287	1520.83168	2975.93069	1401.85149
20210826-2-FLASH	2	0	2073.50495	1231.36634	2038.53465	1243.68317
20210826-2-FLASH	2	1	2400.67327	1296.67327	2379.92079	1231.80198
20210826-2-FLASH	3	0	2518.27723	1628.37624	2555.46535	1668.39604
20210826-2-FLASH	3	1	2883.02970	1622.83168	2906.75248	1565.82178
20210826-2-FLASH	4	0	2130.37624	1514.36634	2162.73267	1594.23762
20210826-2-FLASH	4	1	2524.83168	1605.45545	2548.07921	1578.00000
20210826-2-FLASH	5	0	1632.96040	233.11881	1846.04950	57.02970
20210826-2-FLASH	5	1	1480.88119	243.81188	1663.47525	48.31683
20210826-2-FLASH	6	0	3080.99010	506.88119	3167.78218	241.80198
20210826-2-FLASH	6	1	2908.31683	496.98020	2991.54455	222.79208
20210826-2-FLASH	7	0	3508.43564	280.86139	3684.35644	11.08911
20210826-2-FLASH	8	0	1536.57426	1400.29703	1546.75248	1309.88119
20210826-2-FLASH	9	0	990.89109	1147.72277	967.12871	1123.96040
20210826-2-FLASH	10	0	3358.48515	518.76238	3439.58416	337.57426
20210826-2-FLASH	10	1	3168.38614	527.47525	3249.08911	336.78218
20210826-2-FLASH	11	0	3079.07921	182.81188	3199.59406	93.06931
20210826-2-FLASH	11	1	2803.83168	255.68317	2914.84158	135.04950
20210826-2-FLASH	12	0	2215.36634	1179.21782	2173.66337	1161.56436
20210826-2-FLASH	12	1	2446.65347	1176.04950	2416.03960	1131.06931
20210826-2-FLASH	13	0	479.49505	1394.20792	460.11881	1326.40594
20210826-2-FLASH	13	1	701.67327	1406.08911	686.25743	1329.17822
20210826-2-FLASH	14	0	1521.95050	1376.50495	1529.34653	1249.18812
20210826-2-FLASH	15	0	1665.74257	1159.60396	1691.88119	1085.94059
20210826-2-FLASH	16	0	2222.10891	1612.40594	2248.81188	1504.45545
20210826-2-FLASH	16	1	2015.77228	1552.20792	2032.97030	1483.86139
20210826-2-FLASH	17	0	508.57426	1263.96040	481.00990	1257.66337
20210826-2-FLASH	17	1	771.94059	1188.31683	747.54455	1164.19802
20210826-2-FLASH	18	0	855.53465	1651.47525	855.23762	1548.83168
20210826-2-FLASH	19	0	3357.01980	1406.47525	3360.04950	1405.81188
20210826-2-FLASH	19	1	3062.36634	1269.84158	3051.13861	1304.82178
20210826-2-FLASH	20	0	1271.16832	260.66337	1426.41584	17.82178
20210826-2-FLASH	21	0	419.34653	332.88119	546.26733	166.73267
20210826-2-FLASH	21	1	267.26733	284.56436	388.24752	126.33663
20210826-2-FLASH	22	0	145.34653	1562.53465	139.80198	1535.37624
20210826-2-FLASH	22	1	78.81188	1483.72277	65.74257	1462.90099
20210826-2-FLASH	23	0	1758.07921	1521.86139	1764.50495	1402.48515
20210826-2-FLASH	24	0	581.16832	1497.88119	572.84158	1531.66337
20210826-2-FLASH	24	1	680.17822	1520.05941	680.16832	1556.61386
20210826-2-FLASH	25	0	157.22772	613.06931	310.09901	529.16832
20210826-2-FLASH	25	1	100.19802	651.88119	259.80198	562.03960
20210826-2-FLASH	26	0	918.89109	1736.31683	925.18812	1738.03960
20210826-2-FLASH	26	1	894.73267	1712.95050	897.86139	1715.46535
20210826-2-FLASH	27	0	57.02970	1670.84158	65.74257	1665.97030
20210826-2-FLASH	28	0	47.12871	656.63366	214.25743	593.97030
20210826-2-FLASH	29	0	1282.37624	105.34653	1440.55446	70.89109
20210826-2-FLASH	29	1	1615.44554	44.35644	1817.98020	21.78218
20210826-2-FLASH	30	0	1265.48515	1202.45545	1270.29703	1125.94059
20210826-2-FLASH	30	1	1046.47525	1238.49505	1037.42574	1171.88119
20210826-2-FLASH	31	0	1105.72277	1265.03960	1097.37624	1127.67327
20210826-2-FLASH	32	0	58.61386	492.77228	188.91089	246.84158
20210826-2-FLASH	33	0	814.53465	1320.63366	805.30693	1362.96040
20210826-2-FLASH	33	1	603.04950	1152.71287	574.41584	1171.27723
20210826-2-FLASH	34	0	1600.82178	1176.99010	1615.25743	1395.09901
20210826-2-FLASH	34	1	1043.80198	1273.17822	1044.72277	1426.92079
20210826-2-FLASH	35	0	1629.35644	476.83168	1788.53465	489.22772
20210826-2-FLASH	35	1	1305.67327	374.94059	1464.57426	368.83168
20210826-2-FLASH	36	0	1718.02970	292.72277	1908.05941	372.40594
20210826-2-FLASH	36	1	1399.22772	111.68317	1591.77228	115.64356
20210826-2-FLASH	37	0	2158.18812	258.21782	2234.83168	153.66337
20210826-2-FLASH	38	0	2484.62376	143.59406	2568.95050	51.48515
20210826-2-FLASH	38	1	2098.08911	317.45545	2181.99010	226.49505
20210826-2-FLASH	39	0	1443.38614	1552.77228	1442.48515	1853.41584
20210826-2-FLASH	39	1	1648.93069	1438.31683	1644.91089	1740.92079
20210826-2-FLASH	40	0	1381.51485	269.11881	1542.45545	547.14851
