EMOB,Sample,Latitude,Longitude,Date,Time,Time.out,Site,Location,Status,Depth,Observer,Successful.count,Successful.length,Video.notes,Raw.hdd.number,Con.hdd.number,Forwards.habitat.image.saved,Forwards.habitat.image.annotated,Downwards.habitat.image.saved,Downwards.habitat.image.annotated,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
20210826-2-FLASH,PCFB19,-22.7049,113.5517,20210826,12:37,12:42,,Pt Cloates,,89,Molly Gerrans,Yes,Yes,,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230510,Hannah Williams,Hannah Williams,20230601,
20210826-2-FLASH,PCPREF16,-22.7053,113.5501,20210826,12:47,12:52,,Pt Cloates,,91.8,Molly Gerrans,Yes,Yes,,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230510,Hannah Williams,Hannah Williams,20230601,check - lots of small fis out of range with bad vis
20210826-3-FLASH,PCFB16,-22.7061,113.5545,20210826,13:00,13:05,,Pt Cloates,,79.8,Molly Gerrans,Yes,Yes,Check C Albimarginatus measurements - checked all cameras and resynced,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230511,Hannah Williams,Hannah Williams,20230606,
20210826-3-FLASH,PCFB32,-22.7073,113.5572,20210826,13:10,13:15,,Pt Cloates,,81.2,Molly Gerrans,Yes,Yes,,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230511,Hannah Williams,Hannah Williams,20230606,
20210826-3-FLASH,PCFB30,-22.7115,113.555,20210826,13:21,13:27,,Pt Cloates,,81.3,Molly Gerrans,Yes,Yes,Showed PCFB15 then changed to PCFB30,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230511,Hannah Williams,Hannah Williams,20230606,
20210826-3-FLASH,PCFB31,-22.7113,113.5533,20210826,13:31,13:37,,Pt Cloates,,82.1,Molly Gerrans,Yes,Yes, ,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230511,Hannah Williams,Hannah Williams,20230606,
20210826-3-FLASH,PCFB15,-22.7101,113.5505,20210826,13:42,13:47,,Pt Cloates,,88,Molly Gerrans,Yes,Yes,"Checked all cameras. Don't think that point was added in ipad.we have done this point twice so will have some error later on, maybe rename - Claude",RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230511,Hannah Williams,Hannah Williams,20230601,
20210826-3-FLASH,PCFB20,-22.7139,113.5477,20210826,13:52,13:58,,Pt Cloates,,96.4,Molly Gerrans,Yes,Yes,,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230512,Hannah Williams,Hannah Williams,20230606,sailfin on the way down!
20210826-3-FLASH,PCFB42,-22.7168,113.552,20210826,14:03,14:08,,Pt Cloates,,82,Molly Gerrans,Yes,Yes,,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230512,Hannah Williams,Hannah Williams,20230606,
20210826-3-FLASH,PCPREF6,-22.7174,113.5525,20210826,14:12,14:18,,Pt Cloates,,81.9,Molly Gerrans,Yes,Yes,,RAW1,CON1,Molly Gerrans,Molly Gerrans,,,Molly Gerrans,20230512,Hannah Williams,Hannah Williams,20230606,
