Dot Point Measurements

Generated: Monday 21 August 2023 13:43:05

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare									Radius %
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		2021	963													Relief	Low / moderate	Moderate (1-3m)	2			82003004		68.4
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		139	1346																					56.1
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		408	1346													Relief	Low / moderate	Moderate (1-3m)	2			82003004		45.0
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		677	1346													Relief	Flat		0			82003001		35.7
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		946	1346													Relief	Flat		0			82003001		30.0
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		1214	1346																					30.0
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		1483	1346													Relief	Low / moderate	Low (<1m)	1			82003003		35.7
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		1752	1346													Relief	Low / moderate	Low (<1m)	1			82003003		45.0
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		2021	1346													Relief	Low / moderate	Low (<1m)	1			82003003		56.1
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		139	1729																					48.9
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		408	1729													Relief	Low / moderate	Low (<1m)	1			82003003		35.6
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		677	1729													Relief	Low / moderate	Moderate (1-3m)	2			82003004		22.7
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		946	1729													Relief	Low / moderate	Low (<1m)	1			82003003		11.9
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		1214	1729																					11.9
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		1483	1729													Relief	Low / moderate	Moderate (1-3m)	2			82003004		22.7
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		1752	1729													Relief	Low / moderate	Low (<1m)	1			82003003		35.6
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		2021	1729													Relief	Low / moderate	Low (<1m)	1			82003003		48.9
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		139	2112																					48.9
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		408	2112													Relief	Low / moderate	Moderate (1-3m)	2			82003004		35.6
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		677	2112													Relief	Low / moderate	Moderate (1-3m)	2			82003004		22.7
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		946	2112													Relief	Low / moderate	Low (<1m)	1			82003003		11.9
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		1214	2112																					11.9
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		1483	2112													Relief	Low / moderate	Low (<1m)	1			82003003		22.7
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		1752	2112													Relief	Low / moderate	Low (<1m)	1			82003003		35.6
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		2021	2112													Relief	Low / moderate	Low (<1m)	1			82003003		48.9
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		139	2495																					56.1
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		408	2495													Relief	Low / moderate	Low (<1m)	1			82003003		45.0
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		677	2495													Relief	Low / moderate	Low (<1m)	1			82003003		35.7
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		946	2495													Relief	Low / moderate	Low (<1m)	1			82003003		30.0
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		1214	2495																					30.0
20210826-1-FLASH_PCFB17_02_20210826_TOP_1_0006_0001.mp4_0026953.jpg	      0		1483	2495													Relief	Low / moderate	Moderate (1-3m)	2			82003004		35.7
