"imageptpair","filenameleft","frameleft","filenameright","frameright","sample","periodtime","length","precision","rms","range","direction","horzdir","vertdir","midx","midy","midz","family","genus","species","code","number","stage","activity","attribute9","attribute10","campaignid","x","y","z","sx","sy","sz","latitude","longitude","date","time","location","status","site","depth","successful.count","successful.length"
"2","20210826_BOTTOM_1_0002_0001.mp4","8491","20210826_TOP_1_0002_0001.mp4","11150","PCPREF10","1.64692",780.23553,"23.00461","8.34433","4154.18271","9.16926","82.51491","62.18773","195.99767","632.29489","-4101.10011","Serranidae","Plectropomus","spp",NA,1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6745","113.5666",NA,NA,"Pt Cloates",NA,NA,"79","Yes","Yes"
"7","20210826_BOTTOM_1_0002_0001.mp4","68279","20210826_TOP_1_0002_0001.mp4","70938","PCPREF15","0.08286",363.4409,"19.69592","13.70375","5653.29274","18.94171","74.12363","82.51818","-1530.23773","1012.88727","-5347.16286","Pomacanthidae","Pomacanthus","semicirculatus","37365080",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6751","113.561",NA,NA,"Pt Cloates",NA,NA,"89","Yes","Yes"
"8","20210826_BOTTOM_1_0002_0001.mp4","68438","20210826_TOP_1_0002_0001.mp4","71097","PCPREF15","0.12707",489.27243,"2.02170","6.58844","2121.43835","1.33284","7.60752","73.84760","48.07497","11.12554","-2120.86437","Glaucosomatidae","Glaucosoma","buergeri","37320001",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6751","113.561",NA,NA,"Pt Cloates",NA,NA,"89","Yes","Yes"
"9","20210826_BOTTOM_1_0002_0001.mp4","68535","20210826_TOP_1_0002_0001.mp4","71194","PCPREF15","0.15404",423.01247,"41.40732","0.88120","5483.72699","27.75649","80.71652","65.13976","-843.23794","2410.62457","-4852.74156","Pomacanthidae","Pomacanthus","semicirculatus","37365080",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6751","113.561",NA,NA,"Pt Cloates",NA,NA,"89","Yes","Yes"
"10","20210826_BOTTOM_1_0002_0001.mp4","70703","20210826_TOP_1_0003_0001.mp4","1434","PCPREF15","0.75687",464.57486,"36.63197","4.04484","6156.05336","23.16192","37.83902","67.53907","-1679.29562","-1744.41456","-5659.85662","Haemulidae","Diagramma","pictum","37350003",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6751","113.561",NA,NA,"Pt Cloates",NA,NA,"89","Yes","Yes"
"12","20210826_BOTTOM_1_0002_0001.mp4","70784","20210826_TOP_1_0003_0001.mp4","1515","PCPREF15","0.77939",331.23365,"21.35031","12.70600","4468.25219","14.99919","49.57776","65.32046","109.48140","1151.21375","-4316.01650","Lethrinidae","Lethrinus","miniatus","37351009",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6751","113.561",NA,NA,"Pt Cloates",NA,NA,"89","Yes","Yes"
"13","20210826_BOTTOM_1_0002_0001.mp4","70997","20210826_TOP_1_0003_0001.mp4","1728","PCPREF15","0.83862",266.03563,"8.62179","7.58254","2849.14401","4.74765","59.50164","64.86508","235.69045","-7.70102","-2839.36830","Lutjanidae","Lutjanus","vitta","37346003",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6751","113.561",NA,NA,"Pt Cloates",NA,NA,"89","Yes","Yes"
"14","20210826_BOTTOM_1_0002_0001.mp4","70997","20210826_TOP_1_0003_0001.mp4","1728","PCPREF15","0.83862",290.31373,"24.69913","9.66164","3572.76360","15.16519","65.10746","35.99859","717.57338","598.87378","-3448.34430","Lutjanidae","Lutjanus","vitta","37346003",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6751","113.561",NA,NA,"Pt Cloates",NA,NA,"89","Yes","Yes"
"15","20210826_BOTTOM_1_0002_0001.mp4","70997","20210826_TOP_1_0003_0001.mp4","1728","PCPREF15","0.83862",231.50145,"12.47958","9.46457","3852.63003","17.78807","89.89878","82.53435","445.31490","1089.47088","-3668.44735","Lutjanidae","Lutjanus","vitta","37346003",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6751","113.561",NA,NA,"Pt Cloates",NA,NA,"89","Yes","Yes"
"16","20210826_BOTTOM_1_0002_0001.mp4","70997","20210826_TOP_1_0003_0001.mp4","1728","PCPREF15","0.83862",277.06734,"12.77865","16.24708","3942.92237","12.41095","69.83199","72.50996","743.22189","407.11545","-3850.78110","Lutjanidae","Lutjanus","vitta","37346003",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6751","113.561",NA,NA,"Pt Cloates",NA,NA,"89","Yes","Yes"
"17","20210826_BOTTOM_1_0002_0001.mp4","71357","20210826_TOP_1_0003_0001.mp4","2088","PCPREF15","0.93872",178.32333,"7.64677","9.97070","2481.02437","20.05425","64.06167","66.87562","101.86180","844.64741","-2330.59581","Chaetodontidae","Heniochus","acuminatus","37365011",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6751","113.561",NA,NA,"Pt Cloates",NA,NA,"89","Yes","Yes"
"19","20210826_BOTTOM_1_0002_0001.mp4","71376","20210826_TOP_1_0003_0001.mp4","2107","PCPREF15","0.94400",176.70083,"10.27249","8.55895","2364.51281","22.77755","81.32920","45.22813","81.73707","911.77522","-2180.11601","Chaetodontidae","Heniochus","acuminatus","37365011",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6751","113.561",NA,NA,"Pt Cloates",NA,NA,"89","Yes","Yes"
"22","20210826_BOTTOM_1_0002_0001.mp4","71413","20210826_TOP_1_0003_0001.mp4","2144","PCPREF15","0.95429",237.02195,"6.59878","2.01061","1910.12857","15.94300","50.82558","36.73615","-336.95075","-402.18046","-1836.65626","Chaetodontidae","Heniochus","acuminatus","37365011",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6751","113.561",NA,NA,"Pt Cloates",NA,NA,"89","Yes","Yes"
"24","20210826_BOTTOM_1_0003_0001.mp4","4392","20210826_TOP_1_0003_0001.mp4","7051","PCPREF15","2.31871",87.99465,"4.81990","6.91823","1596.07476","17.98867","52.02021","32.29199","-492.88967","4.91547","-1518.05476","Pinguipedidae","Parapercis","nebulosa","37390005",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6751","113.561",NA,NA,"Pt Cloates",NA,NA,"89","Yes","Yes"
"25","20210826_BOTTOM_1_0003_0001.mp4","4752","20210826_TOP_1_0003_0001.mp4","7411","PCPREF15","2.41881",104.37272,"4.35873","1.48668","1638.02667","2.16294","68.48313","52.96869","9.33554","61.11247","-1636.85964","Pinguipedidae","Parapercis","nebulosa","37390005",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6751","113.561",NA,NA,"Pt Cloates",NA,NA,"89","Yes","Yes"
"26","20210826_BOTTOM_1_0003_0001.mp4","4752","20210826_TOP_1_0003_0001.mp4","7411","PCPREF15","2.41881",49.06464,"1.41098","8.17975","1637.66270","7.00840","11.76531","75.34447","-75.21930","-185.12092","-1625.42653","Pinguipedidae","Parapercis","nebulosa","37390005",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6751","113.561",NA,NA,"Pt Cloates",NA,NA,"89","Yes","Yes"
"28","20210826_BOTTOM_1_0004_0001.mp4","1077","20210826_TOP_1_0004_0001.mp4","3736","PCPREF8","0.01919",732.08458,"9.60306","7.57312","3077.89702","17.68798","40.81611","66.40226","320.10643","878.67507","-2932.39016","Lutjanidae","Aphareus","rutilans","37346001",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6845","113.5637",NA,NA,"Pt Cloates",NA,NA,"79","Yes","Yes"
"29","20210826_BOTTOM_1_0004_0001.mp4","1966","20210826_TOP_1_0004_0001.mp4","4625","PCPREF8","0.26638",281.30174,"12.92594","0.76681","3291.66213","29.19195","40.90943","46.92078","586.49342","-1494.50495","-2873.59009","Lethrinidae","Lethrinus","rubrioperculatus","37351012",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6845","113.5637",NA,NA,"Pt Cloates",NA,NA,"79","Yes","Yes"
"30","20210826_BOTTOM_1_0004_0001.mp4","2335","20210826_TOP_1_0004_0001.mp4","4994","PCPREF8","0.36898",392.92426,"12.41458","12.18527","4185.17867","15.77845","5.88803","64.88224","-332.31625","1088.42576","-4027.48256","Lethrinidae","Gymnocranius","sp1",NA,1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6845","113.5637",NA,NA,"Pt Cloates",NA,NA,"79","Yes","Yes"
"31","20210826_BOTTOM_1_0004_0001.mp4","5375","20210826_TOP_1_0004_0001.mp4","8034","PCPREF8","1.21427",302.89841,"26.61356","13.41096","4620.00586","26.42988","56.88155","68.26035","170.04666","2049.33241","-4137.12158","Lethrinidae","Lethrinus","miniatus","37351009",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6845","113.5637",NA,NA,"Pt Cloates",NA,NA,"79","Yes","Yes"
"34","20210826_BOTTOM_1_0004_0001.mp4","49045","20210826_TOP_1_0004_0001.mp4","51704","PCFB24","0.48521",325.09093,"6.61409","7.27279","2800.16617","17.56429","21.43690","79.03620","113.69675","-837.33860","-2669.61939","Serranidae","Epinephelus","areolatus","37311009",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6849","113.5534",NA,NA,"Pt Cloates",NA,NA,"98","Yes","Yes"
"35","20210826_BOTTOM_1_0004_0001.mp4","49045","20210826_TOP_1_0004_0001.mp4","51704","PCFB24","0.48521",346.38782,"12.88795","3.30531","2451.92701","28.00888","89.85293","20.93993","97.95646","-1147.27126","-2164.74462","Serranidae","Epinephelus","areolatus","37311009",1,"AD","Passing",NA,NA,"2021-08_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.6849","113.5534",NA,NA,"Pt Cloates",NA,NA,"98","Yes","Yes"
