"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date","time","location","status","site","depth","successful.count","successful.length"
"2021-08_PtCloates_BOSS","PCFB12","20210826_BOTTOM_2_0002_0001.mp4","0.24969","Carangidae","Seriola","rivoliana",1,"-22.6981","113.5558",NA,NA,"Pt Cloates",NA,NA,"83.9","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB12","20210826_BOTTOM_2_0002_0001.mp4","0.00000","Lethrinidae","Gymnocranius","sp1",2,"-22.6981","113.5558",NA,NA,"Pt Cloates",NA,NA,"83.9","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB13","20210908_BOTTOM_5_0004_0001.mp4","0.18658","Unknown","Unknown","Unknown",1,"-22.7434","113.5484",NA,NA,"Pt Cloates",NA,NA,"80","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB14","20210908_BOTTOM_6_0004_0001.mp4","2.00589","Lethrinidae","Lethrinus","miniatus",1,"-22.731","113.5441",NA,NA,"Pt Cloates",NA,NA,"89","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB14","20210908_BOTTOM_6_0004_0001.mp4","0.14709","Pinguipedidae","Parapercis","nebulosa",1,"-22.731","113.5441",NA,NA,"Pt Cloates",NA,NA,"89","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB15.1","20210826_BOTTOM_3_0003_0001.mp4","0.08203","Carcharhinidae","Carcharhinus","albimarginatus",1,"-22.7101","113.5505",NA,NA,"Pt Cloates",NA,NA,"88","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB15.1","20210826_BOTTOM_3_0003_0001.mp4","0.00000","Chaetodontidae","Heniochus","acuminatus",3,"-22.7101","113.5505",NA,NA,"Pt Cloates",NA,NA,"88","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB15.1","20210826_BOTTOM_3_0003_0001.mp4","1.80208","Labridae","Bodianus","solatus",2,"-22.7101","113.5505",NA,NA,"Pt Cloates",NA,NA,"88","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB15.1","20210826_BOTTOM_3_0003_0001.mp4","0.53804","Lethrinidae","Gymnocranius","sp1",2,"-22.7101","113.5505",NA,NA,"Pt Cloates",NA,NA,"88","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB15.1","20210826_BOTTOM_3_0003_0001.mp4","2.67434","Lethrinidae","Lethrinus","miniatus",1,"-22.7101","113.5505",NA,NA,"Pt Cloates",NA,NA,"88","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB15.1","20210826_BOTTOM_3_0003_0001.mp4","0.08203","Lethrinidae","Lethrinus","nebulosus",1,"-22.7101","113.5505",NA,NA,"Pt Cloates",NA,NA,"88","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB15.1","20210826_BOTTOM_3_0003_0001.mp4","2.67434","Scaridae","Scarus","spp",2,"-22.7101","113.5505",NA,NA,"Pt Cloates",NA,NA,"88","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB15.2","20210908_BOTTOM_6_0005_0001.mp4","0.08842","Unknown","Unknown","Unknown",1,"-22.71","113.5506",NA,NA,"Pt Cloates",NA,NA,"87","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB16","20210826_BOTTOM_3_0001_0001.mp4","2.22472","Carangidae","Seriola","rivoliana",1,"-22.7061","113.5545",NA,NA,"Pt Cloates",NA,NA,"79.8","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB16","20210826_BOTTOM_3_0001_0001.mp4","0.64954","Carangidae","Seriola","spp",1,"-22.7061","113.5545",NA,NA,"Pt Cloates",NA,NA,"79.8","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB16","20210826_BOTTOM_3_0001_0001.mp4","0.87699","Carcharhinidae","Carcharhinus","albimarginatus",1,"-22.7061","113.5545",NA,NA,"Pt Cloates",NA,NA,"79.8","Yes","Yes"
