"campaignid","sample","latitude","longitude","date","time","location","status","site","depth","successful.count","successful.length"
"2022-05_PtCloates_BRUVS","1","-22.7221","113.5447","20220522","10:03:24",NA,NA,NA,"93.9","Yes","Yes"
"2022-05_PtCloates_BRUVS","2","-22.6957","113.5628","20220522","14:16:25",NA,NA,NA,"77.3","Yes","Yes"
"2022-05_PtCloates_BRUVS","3","-22.7379","113.5515","20220520","14:34:36",NA,NA,NA,"78.3","Yes","Yes"
"2022-05_PtCloates_BRUVS","4","-22.7337","113.5555","20220520","14:40:43",NA,NA,NA,"73.9","Yes","Yes"
"2022-05_PtCloates_BRUVS","5","-22.7218","113.5506","20220522","08:50:54",NA,NA,NA,"81.9","Yes","Yes"
"2022-05_PtCloates_BRUVS","6","-22.7459","113.5531","20220520","12:30:12",NA,NA,NA,"74.3","Yes","Yes"
"2022-05_PtCloates_BRUVS","7","-22.7574","113.5382","20220520","09:36:32",NA,NA,NA,"89.3","Yes","Yes"
"2022-05_PtCloates_BRUVS","8","-22.7298","113.5538","20220522","08:12:35",NA,NA,NA,"76.4","Yes","Yes"
"2022-05_PtCloates_BRUVS","9","-22.6934","113.5571","20220522","14:27:15",NA,NA,NA,"84.9","Yes","Yes"
"2022-05_PtCloates_BRUVS","11","-22.7274","113.5498","20220522","08:18:17",NA,NA,NA,"81","Yes","Yes"
"2022-05_PtCloates_BRUVS","12","-22.7505","113.5476","20220520","12:11:27",NA,NA,NA,"80.5","Yes","Yes"
"2022-05_PtCloates_BRUVS","13","-22.6872","113.5606","20220526","08:42:37",NA,NA,NA,"82.1","Yes","Yes"
"2022-05_PtCloates_BRUVS","14","-22.6876","113.5568","20220526","08:48:10",NA,NA,NA,"90.5","Yes","Yes"
"2022-05_PtCloates_BRUVS","15","-22.6977","113.5561","20220522","12:55:29",NA,NA,NA,"83.9","Yes","Yes"
"2022-05_PtCloates_BRUVS","16","-22.7406","113.5395","20220520","14:06:11",NA,NA,NA,"93.2","Yes","Yes"
"2022-05_PtCloates_BRUVS","17","-22.7011","113.5532","20220522","12:45:32",NA,NA,NA,"86.5","Yes","Yes"
"2022-05_PtCloates_BRUVS","18","-22.7101","113.5492","20220522","10:29:53",NA,NA,NA,"91.5","Yes","Yes"
