"campaignid","sample","latitude","longitude","date","time","location","status","site","depth","successful.count","successful.length"
"2021-08_PtCloates_BOSS","PCFBP18","-22.7533","113.5301",NA,NA,"Pt Cloates",NA,NA,"98","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB29","-22.7549","113.5424",NA,NA,"Pt Cloates",NA,NA,"82","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB35","-22.7537","113.5402",NA,NA,"Pt Cloates",NA,NA,"88","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFBP3","-22.7511","113.5386",NA,NA,"Pt Cloates",NA,NA,"90","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB5","-22.7492","113.5437",NA,NA,"Pt Cloates",NA,NA,"82","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB34","-22.7489","113.543",NA,NA,"Pt Cloates",NA,NA,"86","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB8","-22.7461","113.5399",NA,NA,"Pt Cloates",NA,NA,"91","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB37","-22.7436","113.5427",NA,NA,"Pt Cloates",NA,NA,"87","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFBP2","-22.7434","113.5452",NA,NA,"Pt Cloates",NA,NA,"83","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB13","-22.7434","113.5484",NA,NA,"Pt Cloates",NA,NA,"80","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB27","-22.7409","113.5496",NA,NA,"Pt Cloates",NA,NA,"80","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB45","-22.7402","113.5411",NA,NA,"Pt Cloates",NA,NA,"90","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFBP4","-22.7376","113.5416",NA,NA,"Pt Cloates",NA,NA,"89","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB11","-22.7358","113.5445",NA,NA,"Pt Cloates",NA,NA,"87","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFBP5","-22.7344","113.5504",NA,NA,"Pt Cloates",NA,NA,"79","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB44","-22.7338","113.5493",NA,NA,"Pt Cloates",NA,NA,"81","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB26","-22.7315","113.5533",NA,NA,"Pt Cloates",NA,NA,"78","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFBP12","-22.7312","113.5446",NA,NA,"Pt Cloates",NA,NA,"88","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB14","-22.731","113.5441",NA,NA,"Pt Cloates",NA,NA,"89","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB15.2","-22.71","113.5506",NA,NA,"Pt Cloates",NA,NA,"87","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB25","-22.6907","113.5595",NA,NA,"Pt Cloates",NA,NA,"80","Yes","Yes"
"2021-08_PtCloates_BOSS","PCSBP10","-22.6745","113.5663",NA,NA,"Pt Cloates",NA,NA,"77","Yes","Yes"
"2021-08_PtCloates_BOSS","PCSBP15","-22.6753","113.5613",NA,NA,"Pt Cloates",NA,NA,"89","Yes","Yes"
"2021-08_PtCloates_BOSS","PCSBP9","-22.6779","113.5654",NA,NA,"Pt Cloates",NA,NA,"82","Yes","Yes"
"2021-08_PtCloates_BOSS","PCSB45","-22.6823","113.5591",NA,NA,"Pt Cloates",NA,NA,"89","Yes","Yes"
"2021-08_PtCloates_BOSS","PCSBP8","-22.6839","113.5635",NA,NA,"Pt Cloates",NA,NA,"78","Yes","Yes"
"2021-08_PtCloates_BOSS","PCSB3","-22.6854","113.5572",NA,NA,"Pt Cloates",NA,NA,"91","Yes","Yes"
"2021-08_PtCloates_BOSS","PCSB21","-22.6864","113.5593",NA,NA,"Pt Cloates",NA,NA,"88","Yes","Yes"
"2021-08_PtCloates_BOSS","PCSB22","-22.6889","113.5566",NA,NA,"Pt Cloates",NA,NA,"91","Yes","Yes"
"2021-08_PtCloates_BOSS","PCSB26","-22.6891","113.5586",NA,NA,"Pt Cloates",NA,NA,"85","Yes","Yes"
"2021-08_PtCloates_BOSS","PCSBP7","-22.69","113.5605",NA,NA,"Pt Cloates",NA,NA,"80","Yes","Yes"
"2021-08_PtCloates_BOSS","PCSB5","-22.6918","113.5532",NA,NA,"Pt Cloates",NA,NA,"96","Yes","Yes"
"2021-08_PtCloates_BOSS","PCSB42","-22.6927","113.555",NA,NA,"Pt Cloates",NA,NA,"91","Yes","Yes"
"2021-08_PtCloates_BOSS","PCSB16","-22.6943","113.5561",NA,NA,"Pt Cloates",NA,NA,"87","Yes","Yes"
"2021-08_PtCloates_BOSS","PCSBP11","-22.6962","113.5592",NA,NA,"Pt Cloates",NA,NA,"79","Yes","Yes"
"2021-08_PtCloates_BOSS","PCSB10","-22.6966","113.5583",NA,NA,"Pt Cloates",NA,NA,"81","Yes","Yes"
"2021-08_PtCloates_BOSS","PCSB7","-22.6986","113.557",NA,NA,"Pt Cloates",NA,NA,"83","Yes","Yes"
"2021-08_PtCloates_BOSS","PCSB30","-22.6993","113.5498",NA,NA,"Pt Cloates",NA,NA,"96","Yes","Yes"
"2021-08_PtCloates_BOSS","PCSB23","-22.7008","113.5519",NA,NA,"Pt Cloates",NA,NA,"91","Yes","Yes"
"2021-08_PtCloates_BOSS","PCSBP1","-22.6996","113.5589",NA,NA,"Pt Cloates",NA,NA,"79","Yes","Yes"
"2021-08_PtCloates_BOSS","PCSB19","-22.7","113.5594",NA,NA,"Pt Cloates",NA,NA,"80","Yes","Yes"
"2021-08_PtCloates_BOSS","PCSB34","-22.7033","113.557",NA,NA,"Pt Cloates",NA,NA,"82","Yes","Yes"
"2021-08_PtCloates_BOSS","PCSBP16","-22.7053","113.5502",NA,NA,"Pt Cloates",NA,NA,"89","Yes","Yes"
"2021-08_PtCloates_BOSS","PCSB38","-22.7058","113.5542",NA,NA,"Pt Cloates",NA,NA,"83","Yes","Yes"
"2021-08_PtCloates_BOSS","PCSB8","-22.7064","113.5555",NA,NA,"Pt Cloates",NA,NA,"82","Yes","Yes"
"2021-08_PtCloates_BOSS","PCSB29","-22.7052","113.5576",NA,NA,"Pt Cloates",NA,NA,"82","Yes","Yes"
"2021-08_PtCloates_BOSS","PCSB31","-22.7112","113.5554",NA,NA,"Pt Cloates",NA,NA,"81","Yes","Yes"
"2021-08_PtCloates_BOSS","PCSB44","-22.7122","113.5532",NA,NA,"Pt Cloates",NA,NA,"83","Yes","Yes"
"2021-08_PtCloates_BOSS","PCSB33","-22.7154","113.5531",NA,NA,"Pt Cloates",NA,NA,"81","Yes","Yes"
"2021-08_PtCloates_BOSS","PCSBP6","-22.7171","113.5528",NA,NA,"Pt Cloates",NA,NA,"84","Yes","Yes"
"2021-08_PtCloates_BOSS","PCSB9","-22.7187","113.5519",NA,NA,"Pt Cloates",NA,NA,"81","Yes","Yes"
"2022-05_PtCloates_BOSS","248","-22.7609","113.5473",NA,NA,NA,"No-take",NA,"76.6","Yes","Yes"
"2022-05_PtCloates_BOSS","224","-22.7598","113.5487",NA,NA,NA,"No-take",NA,"76.1","Yes","Yes"
"2022-05_PtCloates_BOSS","232","-22.7576","113.5368",NA,NA,NA,"No-take",NA,"90.9","Yes","Yes"
"2022-05_PtCloates_BOSS","211","-22.7554","113.54",NA,NA,NA,"No-take",NA,"87.2","Yes","Yes"
"2022-05_PtCloates_BOSS","226","-22.7536","113.5408",NA,NA,NA,"No-take",NA,"86.6","Yes","Yes"
"2022-05_PtCloates_BOSS","203","-22.7548","113.55",NA,NA,NA,"No-take",NA,"75.7","Yes","Yes"
"2022-05_PtCloates_BOSS","207","-22.7523","113.5552",NA,NA,NA,"No-take",NA,"71.4","Yes","Yes"
"2022-05_PtCloates_BOSS","221","-22.7519","113.5483",NA,NA,NA,"No-take",NA,"78.4","Yes","Yes"
"2022-05_PtCloates_BOSS","264","-22.7655","113.5389",NA,NA,NA,"No-take",NA,"81.6","Yes","Yes"
"2022-05_PtCloates_BOSS","262","-22.7635","113.5347",NA,NA,NA,"No-take",NA,"91","Yes","Yes"
"2022-05_PtCloates_BOSS","265","-22.7561","113.529",NA,NA,NA,"No-take",NA,"99.2","Yes","Yes"
"2022-05_PtCloates_BOSS","266","-22.7531","113.5301",NA,NA,NA,"No-take",NA,"98.5","Yes","Yes"
"2022-05_PtCloates_BOSS","253","-22.7509","113.538",NA,NA,NA,"No-take",NA,"91.2","Yes","Yes"
"2022-05_PtCloates_BOSS","270","-22.7511","113.5387",NA,NA,NA,"No-take",NA,"91","Yes","Yes"
"2022-05_PtCloates_BOSS","201","-22.7488","113.5378",NA,NA,NA,"No-take",NA,"94.9","Yes","Yes"
"2022-05_PtCloates_BOSS","237","-22.7502","113.5462",NA,NA,NA,"No-take",NA,"81.8","Yes","Yes"
"2022-05_PtCloates_BOSS","240","-22.749","113.5509",NA,NA,NA,"No-take",NA,"75","Yes","Yes"
"2022-05_PtCloates_BOSS","255","-22.7444","113.5428",NA,NA,NA,"No-take",NA,"87.3","Yes","Yes"
"2022-05_PtCloates_BOSS","216","-22.7451","113.5437",NA,NA,NA,"No-take",NA,"86.5","Yes","Yes"
"2022-05_PtCloates_BOSS","269","-22.7429","113.5458",NA,NA,NA,"No-take",NA,"83.1","Yes","Yes"
"2022-05_PtCloates_BOSS","231","-22.7464","113.5529",NA,NA,NA,"No-take",NA,"73.9","Yes","Yes"
"2022-05_PtCloates_BOSS","245","-22.7436","113.5519",NA,NA,NA,"No-take",NA,"75.8","Yes","Yes"
"2022-05_PtCloates_BOSS","209","-22.7402","113.5521",NA,NA,NA,"No-take",NA,"76.7","Yes","Yes"
"2022-05_PtCloates_BOSS","241","-22.7403","113.5387",NA,NA,NA,"No-take",NA,"94.4","Yes","Yes"
"2022-05_PtCloates_BOSS","272","-22.7374","113.5422",NA,NA,NA,"No-take",NA,"89.2","Yes","Yes"
"2022-05_PtCloates_BOSS","244","-22.7347","113.5406",NA,NA,NA,"No-take",NA,"93","Yes","Yes"
"2022-05_PtCloates_BOSS","219","-22.7317","113.543",NA,NA,NA,"No-take",NA,"90.7","Yes","Yes"
"2022-05_PtCloates_BOSS","259","-22.7312","113.5443",NA,NA,NA,"No-take",NA,"88.9","Yes","Yes"
"2022-05_PtCloates_BOSS","230","-22.7341","113.5543",NA,NA,NA,"No-take",NA,"76.9","Yes","No"
"2022-05_PtCloates_BOSS","274","-22.7343","113.5502",NA,NA,NA,"No-take",NA,"79.2","Yes","Yes"
"2022-05_PtCloates_BOSS","205","-22.7321","113.5508",NA,NA,NA,"No-take",NA,"80.6","Yes","No"
"2022-05_PtCloates_BOSS","214","-22.733","113.5497",NA,NA,NA,"No-take",NA,"81.5","Yes","Yes"
"2022-05_PtCloates_BOSS","256","-22.7326","113.5465",NA,NA,NA,"No-take",NA,"86.1","Yes","Yes"
"2022-05_PtCloates_BOSS","233","-22.7305","113.5526",NA,NA,NA,"No-take",NA,"76.2","Yes","Yes"
"2022-05_PtCloates_BOSS","251","-22.7277","113.554",NA,NA,NA,"No-take",NA,"76.4","Yes","Yes"
"2022-05_PtCloates_BOSS","212","-22.728","113.556",NA,NA,NA,"No-take",NA,"75","Yes","Yes"
"2022-05_PtCloates_BOSS","235","-22.7275","113.5434",NA,NA,NA,"No-take",NA,"93","Yes","Yes"
"2022-05_PtCloates_BOSS","218","-22.726","113.5411",NA,NA,NA,"No-take",NA,"97.7","Yes","Yes"
