"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB13","Left_MAH01202.MP4","23.33859","Carangidae","Carangoides","chrysophrys",1,"-22.7094","113.5532","20210907","12:47","Pt Cloates",NA,NA,"82","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB13","Left_MAH01202.MP4","17.49359","Carangidae","Carangoides","fulvoguttatus",1,"-22.7094","113.5532","20210907","12:47","Pt Cloates",NA,NA,"82","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB13","Left_MAH01203.MP4","43.42588","Carangidae","Decapterus","spp",5,"-22.7094","113.5532","20210907","12:47","Pt Cloates",NA,NA,"82","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB13","Left_MAH01202.MP4","5.10176","Lethrinidae","Gymnocranius","sp1",2,"-22.7094","113.5532","20210907","12:47","Pt Cloates",NA,NA,"82","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB13","Left_MAH01203.MP4","35.54773","Lethrinidae","Lethrinus","miniatus",2,"-22.7094","113.5532","20210907","12:47","Pt Cloates",NA,NA,"82","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB13","Left_MAH01203.MP4","31.47144","Lethrinidae","Lethrinus","rubrioperculatus",2,"-22.7094","113.5532","20210907","12:47","Pt Cloates",NA,NA,"82","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB13","Left_MAH01202.MP4","26.36217","Lutjanidae","Lutjanus","sebae",1,"-22.7094","113.5532","20210907","12:47","Pt Cloates",NA,NA,"82","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB13","Left_MAH01202.MP4","17.68906","Lutjanidae","Pristipomoides","sp1",1,"-22.7094","113.5532","20210907","12:47","Pt Cloates",NA,NA,"82","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB13","Left_MAH01203.MP4","28.12087","Tetraodontidae","Lagocephalus","sceleratus",1,"-22.7094","113.5532","20210907","12:47","Pt Cloates",NA,NA,"82","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB13","Left_MAH01201.MP4","2.71243","Unknown","Unknown","Unknown",1,"-22.7094","113.5532","20210907","12:47","Pt Cloates",NA,NA,"82","Kaitlin McCloghry","Yes","Yes"
"2021-08_Pt-Cloates_stereo-BRUVs","PCB16","Left_MAH00158.MP4","5.90562","Balistidae","Sufflamen","fraenatum",1,"-22.7056","113.5586","20210907","11:03","Pt Cloates",NA,NA,"78","Kaitlin McCloghry","Yes","Yes"
