sample,PCO1,PCO2,method
2022-05_PtCloates_BOSS.239,0.499622876,-0.083317312,BOSS
2022-05_PtCloates_BOSS.240,0.348587308,-0.06795548,BOSS
2022-05_PtCloates_BOSS.241,0.324284348,-0.05923584,BOSS
2022-05_PtCloates_BOSS.242,0.188303606,-0.060772866,BOSS
2022-05_PtCloates_BOSS.243,0.347886311,-0.103196863,BOSS
2022-05_PtCloates_BOSS.244,0.294508384,-0.239649511,BOSS
2022-05_PtCloates_BOSS.245,0.499622876,-0.083317312,BOSS
2022-05_PtCloates_BOSS.246,0.499622876,-0.083317312,BOSS
2022-05_PtCloates_BOSS.247,0.499622876,-0.083317312,BOSS
2022-05_PtCloates_BOSS.248,0.158559513,-0.137606648,BOSS
2022-05_PtCloates_BOSS.249,0.242997651,-0.08106143,BOSS
2022-05_PtCloates_BOSS.250,0.362262234,-0.187946385,BOSS
2022-05_PtCloates_BOSS.251,0.253426305,-0.194990441,BOSS
2022-05_PtCloates_BOSS.252,0.499622876,-0.083317312,BOSS
2022-05_PtCloates_BOSS.253,0.073529684,-0.171903946,BOSS
2022-05_PtCloates_BOSS.254,0.197464982,-0.213174114,BOSS
2022-05_PtCloates_BOSS.255,0.294508384,-0.239649511,BOSS
2022-05_PtCloates_BOSS.256,0.182531892,-0.135070604,BOSS
2022-05_PtCloates_BOSS.257,0.152229788,-0.065526725,BOSS
2022-05_PtCloates_BOSS.258,0.166925558,-0.027031367,BOSS
2022-05_PtCloates_BOSS.259,0.09420323,0.254893067,BOSS
2022-05_PtCloates_BOSS.260,0.122979117,-0.085941982,BOSS
2022-05_PtCloates_BOSS.261,0.155795318,-0.10019847,BOSS
2022-05_PtCloates_BOSS.262,-0.097842333,0.04202968,BOSS
2022-05_PtCloates_BOSS.263,0.499622876,-0.083317312,BOSS
2022-05_PtCloates_BOSS.264,-0.298187293,-0.145005115,BOSS
2022-05_PtCloates_BOSS.265,-0.067954341,0.446256874,BOSS
2022-05_PtCloates_BOSS.266,0.352109514,-0.098705443,BOSS
2022-05_PtCloates_BOSS.267,0.20472656,-0.077433997,BOSS
2022-05_PtCloates_BOSS.268,0.15149075,-0.033063385,BOSS
2022-05_PtCloates_BOSS.269,-0.167266955,-0.065452758,BOSS
2022-05_PtCloates_BOSS.270,-0.54787268,-0.2191158,BOSS
2022-05_PtCloates_BOSS.271,0.193061501,-0.238637397,BOSS
2022-05_PtCloates_BOSS.272,0.093054479,-0.196045886,BOSS
2022-05_PtCloates_BOSS.273,-0.327521028,-0.152698918,BOSS
2022-05_PtCloates_BOSS.274,-0.079927924,-0.107888322,BOSS
2022-05_PtCloates_BOSS.B47,0.499622876,-0.083317312,BOSS
2022-05_PtCloates_BOSS.B48,0.040694659,-0.051723822,BOSS
2022-05_PtCloates_BOSS.B49,0.210793745,-0.216327418,BOSS
2022-05_PtCloates_BOSS.B50,0.324284348,-0.05923584,BOSS
2022-05_PtCloates_BOSS.B51,-0.325316342,0.15130048,BOSS
2022-05_PtCloates_BOSS.B52,-0.171344521,0.172021858,BOSS
2022-05_PtCloates_BOSS.B53,0.242515561,-0.032549318,BOSS
2022-05_PtCloates_BOSS.B54.2,-0.148043598,-0.133499013,BOSS
2022-05_PtCloates_BOSS.B55,0.068973381,0.472250636,BOSS
2022-05_PtCloates_BOSS.B56,-0.043502108,0.312700172,BOSS
2022-05_PtCloates_BOSS.B57,0.3661985,-0.080384495,BOSS
2022-05_PtCloates_BOSS.B58,0.358550452,-0.053906164,BOSS
2022-05_PtCloates_BOSS.B59,0.016925636,-0.132080081,BOSS
2022-05_PtCloates_BOSS.B60,0.195499381,-0.060107689,BOSS
2022-05_PtCloates_BOSS.B61,0.12133091,0.345990591,BOSS
2022-05_PtCloates_BOSS.B62,0.3661985,-0.080384495,BOSS
2022-05_PtCloates_BOSS.B63,-0.111846105,-0.188483576,BOSS
