"campaignid","sample","family","genus","species","length","number","range"
"2021-05_PtCloates_stereo-BRUVS","11","Lutjanidae","Pristipomoides","multidens",355.40568,1,2898.91655
"2021-05_PtCloates_stereo-BRUVS","11","Lutjanidae","Pristipomoides","multidens",475.48892,1,4600.03601
"2021-05_PtCloates_stereo-BRUVS","11","Lutjanidae","Pristipomoides","multidens",352.04994,1,1963.10496
"2021-05_PtCloates_stereo-BRUVS","11","Lutjanidae","Pristipomoides","multidens",492.83844,1,2101.53505
"2021-05_PtCloates_stereo-BRUVS","11","Lutjanidae","Pristipomoides","multidens",514.22361,1,2334.36768
"2021-05_PtCloates_stereo-BRUVS","11","Triakidae","Hemitriakis","falcata",782.82022,1,2137.80303
"2021-05_PtCloates_stereo-BRUVS","12","Sphyraenidae","Sphyraena","spp",496.00244,1,5464.28614
"2021-05_PtCloates_stereo-BRUVS","12","Lethrinidae","Gymnocranius","griseus",240.73603,1,3366.15002
"2021-05_PtCloates_stereo-BRUVS","12","Lutjanidae","Pristipomoides","filamentosus",497.37536,1,2529.50292
"2021-05_PtCloates_stereo-BRUVS","12","Lutjanidae","Pristipomoides","filamentosus",298.18065,1,2898.13311
"2021-05_PtCloates_stereo-BRUVS","12","Lutjanidae","Pristipomoides","filamentosus",351.86547,1,1573.53821
"2021-05_PtCloates_stereo-BRUVS","12","Lutjanidae","Pristipomoides","filamentosus",338.44702,1,1148.45793
"2021-05_PtCloates_stereo-BRUVS","12","Lutjanidae","Pristipomoides","filamentosus",358.66321,1,1935.53884
"2021-05_PtCloates_stereo-BRUVS","12","Lutjanidae","Pristipomoides","filamentosus",354.19525,1,1769.172
"2021-05_PtCloates_stereo-BRUVS","12","Echeneidae","Echeneis","naucrates",122.96202,1,1993.97353
"2021-05_PtCloates_stereo-BRUVS","12","Carangidae","Seriola","rivoliana",527.89604,1,3692.59898
"2021-05_PtCloates_stereo-BRUVS","12","Carangidae","Seriola","rivoliana",543.95756,1,4997.49064
"2021-05_PtCloates_stereo-BRUVS","12","Serranidae","Epinephelus","multinotatus",774.00454,1,3012.26933
"2021-05_PtCloates_stereo-BRUVS","12","Lutjanidae","Pristipomoides","multidens",468.0252,1,4811.44569
"2021-05_PtCloates_stereo-BRUVS","12","Lutjanidae","Pristipomoides","multidens",502.98767,1,2258.63103
"2021-05_PtCloates_stereo-BRUVS","12","Lethrinidae","Lethrinus","miniatus",403.26972,1,1335.73481
"2021-05_PtCloates_stereo-BRUVS","12","Lutjanidae","Lutjanus","sebae",470.97851,1,1507.02881
"2021-05_PtCloates_stereo-BRUVS","12","Lutjanidae","Pristipomoides","multidens",622.03734,1,1862.78354
"2021-05_PtCloates_stereo-BRUVS","12","Lethrinidae","Lethrinus","miniatus",395.46654,1,1091.78366
"2021-05_PtCloates_stereo-BRUVS","12","Lethrinidae","Lethrinus","miniatus",446.7967,1,1156.75792
"2021-05_PtCloates_stereo-BRUVS","12","Carangidae","Carangoides","chrysophrys",307.2125,1,3329.73987
"2021-05_PtCloates_stereo-BRUVS","12","Carangidae","Carangoides","chrysophrys",467.91219,1,3205.48087
"2021-05_PtCloates_stereo-BRUVS","12","Carangidae","Carangoides","chrysophrys",385.37744,1,2356.13766
"2021-05_PtCloates_stereo-BRUVS","12","Carangidae","Carangoides","chrysophrys",430.2053,1,2522.36099
"2021-05_PtCloates_stereo-BRUVS","12","Lethrinidae","Gymnocranius","grandoculis",334.33315,1,1672.11773
"2021-05_PtCloates_stereo-BRUVS","12","Lethrinidae","Gymnocranius","grandoculis",228.4799,1,1659.93626
"2021-05_PtCloates_stereo-BRUVS","12","Lethrinidae","Gymnocranius","grandoculis",257.45382,1,2010.15561
"2021-05_PtCloates_stereo-BRUVS","12","Lethrinidae","Gymnocranius","grandoculis",339.22873,1,1693.84215
"2021-05_PtCloates_stereo-BRUVS","13","Lutjanidae","Pristipomoides","multidens",662.92263,1,3962.42832
"2021-05_PtCloates_stereo-BRUVS","13","Lutjanidae","Pristipomoides","multidens",568.64243,1,1997.43035
"2021-05_PtCloates_stereo-BRUVS","13","Echeneidae","Echeneis","naucrates",135.28891,1,2150.5221
"2021-05_PtCloates_stereo-BRUVS","13","Serranidae","Epinephelus","rivulatus",344.21375,1,2457.0757
"2021-05_PtCloates_stereo-BRUVS","13","Lutjanidae","Pristipomoides","typus",671.33533,1,1876.41101
"2021-05_PtCloates_stereo-BRUVS","13","Labridae","Bodianus","solatus",312.80875,1,4691.47439
"2021-05_PtCloates_stereo-BRUVS","13","Labridae","Bodianus","solatus",385.391,1,4193.65653
