"id","campaignid","sample","family","genus","species","length","number","range","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2021-05_PtCloates_BOSS.10","2021-05_PtCloates_BOSS","10",NA,NA,NA,NA,0,NA,-22.6887,113.5238,2021-05-20,12:02:57,"Point Cloates","No-take","inNP.10",176,"Molly Gerrans","Yes","NA"
"2021-05_PtCloates_BOSS.12","2021-05_PtCloates_BOSS","12","Carangidae","Carangoides","sp10",NA,0,NA,-22.7137,113.5364,2021-05-20,10:49:29,"Point Cloates","No-take","inNP.12",107,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.12","2021-05_PtCloates_BOSS","12","Carangidae","Pseudocaranx","spp",NA,0,NA,-22.7137,113.5364,2021-05-20,10:49:29,"Point Cloates","No-take","inNP.12",107,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.12","2021-05_PtCloates_BOSS","12","Carcharhinidae","Carcharhinus","plumbeus",NA,0,NA,-22.7137,113.5364,2021-05-20,10:49:29,"Point Cloates","No-take","inNP.12",107,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.12","2021-05_PtCloates_BOSS","12","Carcharhinidae","Carcharhinus","spp",NA,0,NA,-22.7137,113.5364,2021-05-20,10:49:29,"Point Cloates","No-take","inNP.12",107,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.12","2021-05_PtCloates_BOSS","12","Holocentridae","Sargocentron","spp",171.32223,1,2647.93654,-22.7137,113.5364,2021-05-20,10:49:29,"Point Cloates","No-take","inNP.12",107,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.12","2021-05_PtCloates_BOSS","12","Lethrinidae","Lethrinus","miniatus",NA,0,NA,-22.7137,113.5364,2021-05-20,10:49:29,"Point Cloates","No-take","inNP.12",107,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.12","2021-05_PtCloates_BOSS","12","Lutjanidae","Pristipomoides","spp",NA,0,NA,-22.7137,113.5364,2021-05-20,10:49:29,"Point Cloates","No-take","inNP.12",107,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.12","2021-05_PtCloates_BOSS","12","Pinguipedidae","Parapercis","nebulosa",86.22911,1,1880.68914,-22.7137,113.5364,2021-05-20,10:49:29,"Point Cloates","No-take","inNP.12",107,"Molly Gerrans","Yes","Yes"
"2021-05_PtCloates_BOSS.12","2021-05_PtCloates_BOSS","12","Priacanthidae","Priacanthus","spp",NA,0,NA,-22.7137,113.5364,2021-05-20,10:49:29,"Point Cloates","No-take","inNP.12",107,"Molly Gerrans","Yes","Yes"
