"campaignid","sample","family","genus","species","maxn"
"2021-08_PtCloates_BOSS","PCFB23","Carangidae","Decapterus","spp",100
"2021-08_PtCloates_BOSS","PCFB23","Carangidae","Seriola","dumerili",2
"2021-08_PtCloates_BOSS","PCFB23","Carangidae","Seriola","rivoliana",3
"2021-08_PtCloates_BOSS","PCFB23","Carcharhinidae","Carcharhinus","albimarginatus",1
"2021-08_PtCloates_BOSS","PCFB23","Chaetodontidae","Heniochus","acuminatus",1
"2021-08_PtCloates_BOSS","PCFB23","Chaetodontidae","Heniochus","diphreutes",3
"2021-08_PtCloates_BOSS","PCFB23","Lethrinidae","Gymnocranius","sp1",1
"2021-08_PtCloates_BOSS","PCFB23","Lutjanidae","Aphareus","rutilans",2
"2021-08_PtCloates_BOSS","PCFB23","Lutjanidae","Aprion","virescens",1
"2021-08_PtCloates_BOSS","PCFB23","Scaridae","Scarus","spp",1
"2021-08_PtCloates_BOSS","PCFB24","Labridae","Bodianus","solatus",1
"2021-08_PtCloates_BOSS","PCFB24","Lutjanidae","Pristipomoides","sp1",3
"2021-08_PtCloates_BOSS","PCFB24","Priacanthidae","Priacanthus","spp",1
"2021-08_PtCloates_BOSS","PCFB24","Serranidae","Epinephelus","areolatus",3
"2021-08_PtCloates_BOSS","PCFB25","Lethrinidae","Lethrinus","nebulosus",1
"2021-08_PtCloates_BOSS","PCFB25","Lutjanidae","Pristipomoides","sp1",1
"2021-08_PtCloates_BOSS","PCFB25","Lutjanidae","Unknown","spp",1
"2021-08_PtCloates_BOSS","PCFB26","Lethrinidae","Gymnocranius","sp1",7
"2021-08_PtCloates_BOSS","PCFB26","Lutjanidae","Pristipomoides","sp1",1
"2021-08_PtCloates_BOSS","PCFB27","Acanthuridae","Acanthurus","spp",1
"2021-08_PtCloates_BOSS","PCFB27","Acanthuridae","Naso","fageni",24
"2021-08_PtCloates_BOSS","PCFB27","Chaetodontidae","Heniochus","diphreutes",3
"2021-08_PtCloates_BOSS","PCFB27","Glaucosomatidae","Glaucosoma","buergeri",2
"2021-08_PtCloates_BOSS","PCFB27","Labridae","Bodianus","solatus",1
"2021-08_PtCloates_BOSS","PCFB27","Pomacanthidae","Pomacanthus","imperator",1
"2021-08_PtCloates_BOSS","PCFB27","Serranidae","Variola","louti",1
"2021-08_PtCloates_BOSS","PCFB28","Carangidae","Carangoides","fulvoguttatus",2
"2021-08_PtCloates_BOSS","PCFB28","Carcharhinidae","Carcharhinus","albimarginatus",1
"2021-08_PtCloates_BOSS","PCFB28","Pomacanthidae","Chaetodontoplus","personifer",1
"2021-08_PtCloates_BOSS","PCFB28","Serranidae","Variola","louti",1
"2021-08_PtCloates_BOSS","PCFB29","Lethrinidae","Gymnocranius","sp1",1
"2021-08_PtCloates_BOSS","PCFB3","Haemulidae","Diagramma","pictum",1
"2021-08_PtCloates_BOSS","PCFB3","Labridae","Bodianus","solatus",5
"2021-08_PtCloates_BOSS","PCFB3","Lethrinidae","Gymnocranius","sp1",1
"2021-08_PtCloates_BOSS","PCFB3","Lethrinidae","Gymnocranius","spp",2
"2021-08_PtCloates_BOSS","PCFB3","Lethrinidae","Lethrinus","rubrioperculatus",1
"2021-08_PtCloates_BOSS","PCFB3","Lutjanidae","Aphareus","rutilans",1
"2021-08_PtCloates_BOSS","PCFB3","Lutjanidae","Lutjanus","lemniscatus",1
"2021-08_PtCloates_BOSS","PCFB3","Mullidae","Parupeneus","heptacanthus",20
"2021-08_PtCloates_BOSS","PCFB3","Mullidae","Parupeneus","spilurus",4
"2021-08_PtCloates_BOSS","PCFB3","SUS","SUS","sus",20
"2021-08_PtCloates_BOSS","PCFB3","Serranidae","Cephalopholis","sonnerati",1
"2021-08_PtCloates_BOSS","PCFB30","Carangidae","Seriola","spp",1
"2021-08_PtCloates_BOSS","PCFB30","Carcharhinidae","Carcharhinus","albimarginatus",1
"2021-08_PtCloates_BOSS","PCFB31","Carangidae","Carangoides","fulvoguttatus",1
"2021-08_PtCloates_BOSS","PCFB31","Carcharhinidae","Carcharhinus","albimarginatus",1
"2021-08_PtCloates_BOSS","PCFB31","Lethrinidae","Gymnocranius","sp1",1
"2021-08_PtCloates_BOSS","PCFB32","Carangidae","Carangoides","fulvoguttatus",1
"2021-08_PtCloates_BOSS","PCFB32","Lethrinidae","Gymnocranius","sp1",2
"2021-08_PtCloates_BOSS","PCFB33","Balistidae","Abalistes","spp",1
"2021-08_PtCloates_BOSS","PCFB33","Lethrinidae","Gymnocranius","sp1",4
"2021-08_PtCloates_BOSS","PCFB33","Unknown","Unknown","unknown",1
"2021-08_PtCloates_BOSS","PCFB34","Lethrinidae","Gymnocranius","sp1",1
"2021-08_PtCloates_BOSS","PCFB35","Lutjanidae","Pristipomoides","sp1",7
"2021-08_PtCloates_BOSS","PCFB35","Pinguipedidae","Parapercis","nebulosa",1
"2021-08_PtCloates_BOSS","PCFB36","Carcharhinidae","Carcharhinus","albimarginatus",1
"2021-08_PtCloates_BOSS","PCFB36","Lethrinidae","Gymnocranius","sp1",1
"2021-08_PtCloates_BOSS","PCFB36","Unknown","Unknown","unknown",30
"2021-08_PtCloates_BOSS","PCFB37","Lutjanidae","Pristipomoides","sp1",2
"2021-08_PtCloates_BOSS","PCFB38","Lethrinidae","Gymnocranius","sp1",2
"2021-08_PtCloates_BOSS","PCFB38","Lutjanidae","Pristipomoides","sp1",1
"2021-08_PtCloates_BOSS","PCFB39","Balistidae","Sufflamen","fraenatum",1
"2021-08_PtCloates_BOSS","PCFB39","Mullidae","Parupeneus","heptacanthus",3
"2021-08_PtCloates_BOSS","PCFB39","Unknown","Unknown","unknown",1
"2021-08_PtCloates_BOSS","PCFB4.1","Balistidae","Sufflamen","fraenatum",1
"2021-08_PtCloates_BOSS","PCFB4.1","Carcharhinidae","Carcharhinus","albimarginatus",1
"2021-08_PtCloates_BOSS","PCFB4.1","Lethrinidae","Gymnocranius","sp1",2
"2021-08_PtCloates_BOSS","PCFB4.2","Acanthuridae","Naso","spp",1
"2021-08_PtCloates_BOSS","PCFB4.2","Carcharhinidae","Carcharhinus","albimarginatus",1
"2021-08_PtCloates_BOSS","PCFB4.2","Lethrinidae","Gymnocranius","sp1",4
"2021-08_PtCloates_BOSS","PCFB4.2","Unknown","Unknown","unknown",1
"2021-08_PtCloates_BOSS","PCFB41","Lutjanidae","Paracaesio","xanthura",1
"2021-08_PtCloates_BOSS","PCFB41","Unknown","Unknown","unknown",2
"2021-08_PtCloates_BOSS","PCFB42","Carangidae","Seriola","rivoliana",1
"2021-08_PtCloates_BOSS","PCFB42","Lutjanidae","Aphareus","rutilans",11
"2021-08_PtCloates_BOSS","PCFB42","Lutjanidae","Lutjanus","sebae",1
"2021-08_PtCloates_BOSS","PCFB42","Monacanthidae","Aluterus","monoceros",2
"2021-08_PtCloates_BOSS","PCFB43","Lethrinidae","Gymnocranius","sp1",2
"2021-08_PtCloates_BOSS","PCFB44","Labridae","Unknown","spp",1
"2021-08_PtCloates_BOSS","PCFB44","Lethrinidae","Gymnocranius","sp1",3
"2021-08_PtCloates_BOSS","PCFB45","Lethrinidae","Gymnocranius","sp1",1
"2021-08_PtCloates_BOSS","PCFB45","Lethrinidae","Lethrinus","miniatus",1
"2021-08_PtCloates_BOSS","PCFB45","Pomacanthidae","Chaetodontoplus","personifer",1
"2021-08_PtCloates_BOSS","PCFB46","Carangidae","Carangoides","chrysophrys",1
"2021-08_PtCloates_BOSS","PCFB46","Carcharhinidae","Carcharhinus","spp",1
"2021-08_PtCloates_BOSS","PCFB46","Lethrinidae","Gymnocranius","sp1",3
"2021-08_PtCloates_BOSS","PCFB46","Lutjanidae","Pristipomoides","sp1",7
"2021-08_PtCloates_BOSS","PCFB6","Carcharhinidae","Carcharhinus","albimarginatus",1
"2021-08_PtCloates_BOSS","PCFB6","Labridae","Bodianus","solatus",1
"2021-08_PtCloates_BOSS","PCFB6","Lethrinidae","Gymnocranius","euanus",1
"2021-08_PtCloates_BOSS","PCFB6","Lethrinidae","Gymnocranius","sp1",1
"2021-08_PtCloates_BOSS","PCFB6","Scaridae","Scarus","spp",1
"2021-08_PtCloates_BOSS","PCFB7","Cirrhitidae","Cyprinocirrhites","polyactis",1
"2021-08_PtCloates_BOSS","PCFB7","Pinguipedidae","Parapercis","nebulosa",1
"2021-08_PtCloates_BOSS","PCFB8","Lethrinidae","Gymnocranius","sp1",1
"2021-08_PtCloates_BOSS","PCFB8","Lethrinidae","Lethrinus","miniatus",1
"2021-08_PtCloates_BOSS","PCFB8","Lutjanidae","Pristipomoides","sp1",1
"2021-08_PtCloates_BOSS","PCFB9","Lethrinidae","Lethrinus","rubrioperculatus",1
"2021-08_PtCloates_BOSS","PCFBP12","SUS","SUS","sus",1
"2021-08_PtCloates_BOSS","PCFBP14","Carangidae","Seriola","dumerili",2
"2021-08_PtCloates_BOSS","PCFBP14","Lutjanidae","Aphareus","rutilans",1
"2021-08_PtCloates_BOSS","PCFBP14","Lutjanidae","Lutjanus","sebae",1
"2021-08_PtCloates_BOSS","PCFBP17","Lethrinidae","Lethrinus","miniatus",2
"2021-08_PtCloates_BOSS","PCFBP18","Lethrinidae","Gymnocranius","euanus",1
"2021-08_PtCloates_BOSS","PCFBP18","Scombridae","Scomberomorus","spp",1
"2021-08_PtCloates_BOSS","PCFBP2","Pinguipedidae","Parapercis","nebulosa",1
"2021-08_PtCloates_BOSS","PCFBP3","Balistidae","Unknown","spp",1
"2021-08_PtCloates_BOSS","PCFBP3","Caesionidae","Pterocaesio","spp",2
"2021-08_PtCloates_BOSS","PCFBP3","Carangidae","Caranx","ignobilis",1
"2021-08_PtCloates_BOSS","PCFBP3","Chaetodontidae","Heniochus","acuminatus",27
"2021-08_PtCloates_BOSS","PCFBP3","Pomacanthidae","Pomacanthus","semicirculatus",1
"2021-08_PtCloates_BOSS","PCFBP3","Serranidae","Variola","louti",1
"2021-08_PtCloates_BOSS","PCFBP4","Lethrinidae","Lethrinus","miniatus",8
"2021-08_PtCloates_BOSS","PCFBP5","Acanthuridae","Naso","spp",1
"2021-08_PtCloates_BOSS","PCFBP5","Carangidae","Carangoides","sp",1
"2021-08_PtCloates_BOSS","PCFBP5","Carangidae","Seriola","rivoliana",1
"2021-08_PtCloates_BOSS","PCFBP5","Lethrinidae","Gymnocranius","sp1",1
"2021-08_PtCloates_BOSS","PCFBP5","Lethrinidae","Lethrinus","miniatus",1
"2021-08_PtCloates_BOSS","PCFBP5","Lethrinidae","Lethrinus","rubrioperculatus",3
"2021-08_PtCloates_BOSS","PCFBP5","Pomacanthidae","Chaetodontoplus","personifer",1
"2021-08_PtCloates_BOSS","PCFBP5","Unknown","Unknown","unknown",3
"2021-08_PtCloates_BOSS","PCPREF1","Balistidae","Xanthichthys","lineopunctatus",1
