"campaignid","sample","family","genus","species","length","number","range"
"2021-05_PtCloates_BOSS","28","Carcharhinidae","Carcharhinus","plumbeus",1256.36758,1,3739.52586
"2021-05_PtCloates_BOSS","45","Carangidae","Pseudocaranx","spp",199.4224,1,2859.64356
"2021-05_PtCloates_BOSS","47","Carcharhinidae","Carcharhinus","spp",832.14277,1,5305.39246
"2021-05_PtCloates_BOSS","29","Triakidae","Unknown","spp",1007.59175,1,5160.03353
"2021-05_PtCloates_BOSS","40","Pinguipedidae","Parapercis","nebulosa",46.12536,1,2106.23034
"2021-05_PtCloates_BOSS","31","Carangidae","Carangoides","sp10",130.62291,1,3864.2156
"2021-05_PtCloates_BOSS","31","Pinguipedidae","Parapercis","nebulosa",50.42008,1,1718.59753
"2021-05_PtCloates_BOSS","31","Lutjanidae","Pristipomoides","spp",321.70616,1,1403.95675
"2021-05_PtCloates_BOSS","33","SUS","SUS","sus",82.68342,1,1763.42521
"2021-05_PtCloates_BOSS","33","Sparidae","Dentex","spp",145.42682,1,2265.44375
"2021-05_PtCloates_BOSS","33","Sparidae","Dentex","spp",152.43105,1,2056.47767
"2021-05_PtCloates_BOSS","20","Pinguipedidae","Parapercis","nebulosa",42.77561,1,1413.69375
"2021-05_PtCloates_BOSS","12","Holocentridae","Sargocentron","spp",171.32223,1,2647.93654
"2021-05_PtCloates_BOSS","12","SUS","SUS","sus",60.66569,1,2684.6995
"2021-05_PtCloates_BOSS","12","SUS","SUS","sus",64.53575,1,2504.56877
"2021-05_PtCloates_BOSS","12","Pinguipedidae","Parapercis","nebulosa",86.22911,1,1880.68914
"2021-05_PtCloates_BOSS","13","Holocentridae","Sargocentron","spp",207.53368,1,2477.99021
"2021-05_PtCloates_BOSS","50","Lethrinidae","Lethrinus","miniatus",432.12919,1,3016.95497
"2021-08_Pt-Cloates_BOSS","PCPREF10","Serranidae","Plectropomus","spp",780.23553,1,4154.18271
"2021-08_Pt-Cloates_BOSS","PCPREF15","Pomacanthidae","Pomacanthus","semicirculatus",363.4409,1,5653.29274
"2021-08_Pt-Cloates_BOSS","PCPREF15","Glaucosomatidae","Glaucosoma","buergeri",489.27243,1,2121.43835
"2021-08_Pt-Cloates_BOSS","PCPREF15","Pomacanthidae","Pomacanthus","semicirculatus",423.01247,1,5483.72699
"2021-08_Pt-Cloates_BOSS","PCPREF15","Lethrinidae","Lethrinus","miniatus",331.23365,1,4468.25219
"2021-08_Pt-Cloates_BOSS","PCPREF15","Lutjanidae","Lutjanus","vitta",266.03563,1,2849.14401
"2021-08_Pt-Cloates_BOSS","PCPREF15","Lutjanidae","Lutjanus","vitta",290.31373,1,3572.7636
"2021-08_Pt-Cloates_BOSS","PCPREF15","Lutjanidae","Lutjanus","vitta",231.50145,1,3852.63003
"2021-08_Pt-Cloates_BOSS","PCPREF15","Lutjanidae","Lutjanus","vitta",277.06734,1,3942.92237
"2021-08_Pt-Cloates_BOSS","PCPREF15","Chaetodontidae","Heniochus","acuminatus",178.32333,1,2481.02437
"2021-08_Pt-Cloates_BOSS","PCPREF15","Chaetodontidae","Heniochus","acuminatus",176.70083,1,2364.51281
"2021-08_Pt-Cloates_BOSS","PCPREF15","Chaetodontidae","Heniochus","acuminatus",237.02195,1,1910.12857
"2021-08_Pt-Cloates_BOSS","PCPREF15","Pinguipedidae","Parapercis","nebulosa",87.99465,1,1596.07476
"2021-08_Pt-Cloates_BOSS","PCPREF15","Pinguipedidae","Parapercis","nebulosa",104.37272,1,1638.02667
"2021-08_Pt-Cloates_BOSS","PCPREF15","Pinguipedidae","Parapercis","nebulosa",49.06464,1,1637.6627
"2021-08_Pt-Cloates_BOSS","PCPREF8","Lutjanidae","Aphareus","rutilans",732.08458,1,3077.89702
"2021-08_Pt-Cloates_BOSS","PCPREF8","Lethrinidae","Lethrinus","rubrioperculatus",281.30174,1,3291.66213
"2021-08_Pt-Cloates_BOSS","PCPREF8","Lethrinidae","Gymnocranius","sp1",392.92426,1,4185.17867
"2021-08_Pt-Cloates_BOSS","PCFB24","Serranidae","Epinephelus","areolatus",325.09093,1,2800.16617
"2021-08_Pt-Cloates_BOSS","PCFB24","Serranidae","Epinephelus","areolatus",346.38782,1,2451.92701
"2021-08_Pt-Cloates_BOSS","PCFB24","Serranidae","Epinephelus","areolatus",339.7474,1,2078.30865
"2021-08_Pt-Cloates_BOSS","PCFB24","Lutjanidae","Pristipomoides","sp1",451.93385,1,3648.68313
"2021-08_Pt-Cloates_BOSS","PCFB24","Lutjanidae","Pristipomoides","sp1",496.4518,1,3583.46136
"2021-08_Pt-Cloates_BOSS","PCFB43","Lethrinidae","Gymnocranius","sp1",420.26268,1,3120.66908
"2021-08_Pt-Cloates_BOSS","PCFB43","Lethrinidae","Gymnocranius","sp1",373.26436,1,5774.53899
"2021-08_Pt-Cloates_BOSS","PCFB17","Lethrinidae","Gymnocranius","sp1",362.83804,1,3471.94852
"2021-08_Pt-Cloates_BOSS","PCFB38","Lethrinidae","Gymnocranius","sp1",397.75132,1,3078.07582
"2021-08_Pt-Cloates_BOSS","PCFB38","Lethrinidae","Gymnocranius","sp1",403.03557,1,3375.03288
"2021-08_Pt-Cloates_BOSS","PCFB7","Pinguipedidae","Parapercis","nebulosa",50.61074,1,1667.77837
"2021-08_Pt-Cloates_BOSS","PCFB22","Pomacanthidae","Pomacanthus","imperator",303.97239,1,4310.91897
"2021-08_Pt-Cloates_BOSS","PCFB22","Balistidae","Abalistes","filamentosus",361.69524,1,3280.87011
"2021-08_Pt-Cloates_BOSS","PCFB22","Pomacanthidae","Pomacanthus","semicirculatus",282.20011,1,5922.34925
"2021-08_Pt-Cloates_BOSS","PCFB22","Pomacanthidae","Pomacanthus","semicirculatus",338.4085,1,3902.83567
"2021-08_Pt-Cloates_BOSS","PCFB33","Lethrinidae","Gymnocranius","sp1",488.42692,1,3422.19288
"2021-08_Pt-Cloates_BOSS","PCFB33","Lethrinidae","Gymnocranius","sp1",462.61355,1,4346.42455
"2021-08_Pt-Cloates_BOSS","PCPREF11","Lutjanidae","Aphareus","rutilans",741.50192,1,4025.61791
"2021-08_Pt-Cloates_BOSS","PCPREF11","Lutjanidae","Aphareus","rutilans",713.44182,1,3096.4093
"2021-08_Pt-Cloates_BOSS","PCPREF11","Lutjanidae","Aphareus","rutilans",689.21656,1,3326.15724
