"sample","family","genus","species","length","range","number","mass.g","length.cm","campaignid","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","id"
"2","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6987,113.5214,2021-05-20,11:47:07,"Point Cloates","No-take","inNP.2",167,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.2"
"2","Pinguipedidae","Parapercis","nebulosa",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6987,113.5214,2021-05-20,11:47:07,"Point Cloates","No-take","inNP.2",167,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.2"
"20","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7187,113.5265,2021-05-20,10:35:39,"Point Cloates","No-take","inNP.20",120,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.20"
"20","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7187,113.5265,2021-05-20,10:35:39,"Point Cloates","No-take","inNP.20",120,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.20"
"20","Pinguipedidae","Parapercis","nebulosa",42.77561,1413.69375,1,0.635542596190262,4.277561,"2021-05_PtCloates_BOSS",-22.7187,113.5265,2021-05-20,10:35:39,"Point Cloates","No-take","inNP.20",120,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.20"
"21","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6963,113.544,2021-05-20,12:33:40,"Point Cloates","No-take","inNP.21",103,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.21"
"21","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6963,113.544,2021-05-20,12:33:40,"Point Cloates","No-take","inNP.21",103,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.21"
"21","Pinguipedidae","Parapercis","nebulosa",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6963,113.544,2021-05-20,12:33:40,"Point Cloates","No-take","inNP.21",103,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.21"
"22","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7438,113.5337,2021-05-20,08:23:06,"Point Cloates","No-take","inNP.22",96.4,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.22"
"22","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7438,113.5337,2021-05-20,08:23:06,"Point Cloates","No-take","inNP.22",96.4,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.22"
"22","Pinguipedidae","Parapercis","nebulosa",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7438,113.5337,2021-05-20,08:23:06,"Point Cloates","No-take","inNP.22",96.4,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.22"
"24","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7113,113.5088,2021-05-20,10:14:33,"Point Cloates","No-take","inNP.24",189,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.24"
"24","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7113,113.5088,2021-05-20,10:14:33,"Point Cloates","No-take","inNP.24",189,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.24"
"24","Pinguipedidae","Parapercis","nebulosa",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7113,113.5088,2021-05-20,10:14:33,"Point Cloates","No-take","inNP.24",189,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.24"
"25","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7262,113.4913,2021-05-20,09:21:43,"Point Cloates","Fished","outNP.1",208,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.25"
"25","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7262,113.4913,2021-05-20,09:21:43,"Point Cloates","Fished","outNP.1",208,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.25"
"25","Pinguipedidae","Parapercis","nebulosa",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7262,113.4913,2021-05-20,09:21:43,"Point Cloates","Fished","outNP.1",208,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.25"
"26","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7388,113.5089,2021-05-20,09:03:48,"Point Cloates","Fished","outNP.2",152,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.26"
"26","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7388,113.5089,2021-05-20,09:03:48,"Point Cloates","Fished","outNP.2",152,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.26"
"26","Pinguipedidae","Parapercis","nebulosa",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7388,113.5089,2021-05-20,09:03:48,"Point Cloates","Fished","outNP.2",152,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.26"
"27","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7635,113.4964,2021-05-19,13:00:25,"Point Cloates","Fished","outNP.3",162,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.27"
"27","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7635,113.4964,2021-05-19,13:00:25,"Point Cloates","Fished","outNP.3",162,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.27"
"27","Pinguipedidae","Parapercis","nebulosa",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7635,113.4964,2021-05-19,13:00:25,"Point Cloates","Fished","outNP.3",162,"Molly Gerrans","Yes","NA","2021-05_PtCloates_BOSS.27"
"28","Carcharhinidae","Carcharhinus","plumbeus",1256.36758,3739.52586,1,22906.8863900384,125.636758,"2021-05_PtCloates_BOSS",-22.7585,113.4762,2021-05-19,11:26:56,"Point Cloates","Fished","outNP.4",206,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.28"
"28","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7585,113.4762,2021-05-19,11:26:56,"Point Cloates","Fished","outNP.4",206,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.28"
"28","Pinguipedidae","Parapercis","nebulosa",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7585,113.4762,2021-05-19,11:26:56,"Point Cloates","Fished","outNP.4",206,"Molly Gerrans","Yes","Yes","2021-05_PtCloates_BOSS.28"
